roi,n_vox,n_shift,n_drift,prop_shift,prop_drift
46_Planum_Temporale_left.nii,97,38,52,0.3917525773195876,0.5360824742268041
14_Right_Lateral_Ventricle.nii,272,143,140,0.5257352941176471,0.5147058823529411
16_Right_Caudate.nii,45,22,23,0.4888888888888889,0.5111111111111111
10_Left_Amygdala.nii,106,62,54,0.5849056603773585,0.5094339622641509
44_Planum_Polare_right.nii,145,52,73,0.3586206896551724,0.503448275862069
13_Middle_Temporal_Gyrus_temporooccipital_part_right.nii,424,161,209,0.37971698113207547,0.49292452830188677
20_Right_Amygdala.nii,149,50,73,0.33557046979865773,0.4899328859060403
5_Left_Caudate.nii,49,25,24,0.5102040816326531,0.4897959183673469
35_Parahippocampal_Gyrus_posterior_division_left.nii,328,154,160,0.4695121951219512,0.4878048780487805
40_Occipital_Fusiform_Gyrus_left.nii,597,298,290,0.4991624790619765,0.48576214405360135
21_Angular_Gyrus_right.nii,577,230,280,0.3986135181975737,0.4852686308492201
9_Superior_Temporal_Gyrus_anterior_division_right.nii,132,59,64,0.44696969696969696,0.48484848484848486
24_Intracalcarine_Cortex_right.nii,188,133,91,0.7074468085106383,0.48404255319148937
44_Planum_Polare_left.nii,147,54,71,0.3673469387755102,0.48299319727891155
5_Inferior_Frontal_Gyrus_pars_triangularis_right.nii,314,70,151,0.2229299363057325,0.48089171974522293
23_Lateral_Occipital_Cortex_inferior_division_right.nii,779,384,374,0.49293966623876767,0.48010269576379977
12_Middle_Temporal_Gyrus_posterior_division_left.nii,365,115,173,0.3150684931506849,0.473972602739726
43_Parietal_Operculum_Cortex_left.nii,190,37,90,0.19473684210526315,0.47368421052631576
22_Lateral_Occipital_Cortex_superior_division_right.nii,1841,803,869,0.43617599130907114,0.4720260727865291
40_Occipital_Fusiform_Gyrus_right.nii,674,374,318,0.5548961424332344,0.47181008902077154
36_Lingual_Gyrus_left.nii,856,380,403,0.4439252336448598,0.47079439252336447
10_Superior_Temporal_Gyrus_posterior_division_left.nii,392,95,184,0.2423469387755102,0.46938775510204084
41_Frontal_Operculum_Cortex_right.nii,154,57,72,0.37012987012987014,0.4675324675324675
19_Right_Hippocampus.nii,262,119,122,0.4541984732824427,0.46564885496183206
4_Left_Thalamus.nii,123,65,57,0.5284552845528455,0.4634146341463415
