roi,n_vox,n_shift,n_drift,prop_shift,prop_drift
10_Left_Amygdala.nii,106,1,1,0.009433962264150943,0.009433962264150943
10_Superior_Temporal_Gyrus_posterior_division_left.nii,392,231,0,0.5892857142857143,0.0
10_Superior_Temporal_Gyrus_posterior_division_right.nii,478,292,1,0.6108786610878661,0.0020920502092050207
11_Middle_Temporal_Gyrus_anterior_division_left.nii,165,55,2,0.3333333333333333,0.012121212121212121
11_Middle_Temporal_Gyrus_anterior_division_right.nii,114,30,0,0.2631578947368421,0.0
12_Middle_Temporal_Gyrus_posterior_division_left.nii,365,79,1,0.21643835616438356,0.0027397260273972603
12_Middle_Temporal_Gyrus_posterior_division_right.nii,351,129,0,0.36752136752136755,0.0
13_Middle_Temporal_Gyrus_temporooccipital_part_left.nii,341,35,8,0.10263929618768329,0.02346041055718475
13_Middle_Temporal_Gyrus_temporooccipital_part_right.nii,424,21,5,0.049528301886792456,0.01179245283018868
14_Inferior_Temporal_Gyrus_anterior_division_left.nii,89,1,0,0.011235955056179775,0.0
14_Inferior_Temporal_Gyrus_anterior_division_right.nii,92,2,1,0.021739130434782608,0.010869565217391304
14_Right_Lateral_Ventricle.nii,272,5,4,0.01838235294117647,0.014705882352941176
15_Inferior_Temporal_Gyrus_posterior_division_left.nii,327,9,6,0.027522935779816515,0.01834862385321101
15_Inferior_Temporal_Gyrus_posterior_division_right.nii,325,20,2,0.06153846153846154,0.006153846153846154
15_Right_Thalamus.nii,80,1,2,0.0125,0.025
16_Inferior_Temporal_Gyrus_temporooccipital_part_left.nii,363,15,7,0.04132231404958678,0.01928374655647383
16_Inferior_Temporal_Gyrus_temporooccipital_part_right.nii,342,9,3,0.02631578947368421,0.008771929824561403
16_Right_Caudate.nii,45,1,0,0.022222222222222223,0.0
17_Postcentral_Gyrus_left.nii,1362,49,11,0.035976505139500736,0.008076358296622614
17_Postcentral_Gyrus_right.nii,1274,34,12,0.026687598116169546,0.009419152276295133
18_Superior_Parietal_Lobule_left.nii,726,8,1,0.011019283746556474,0.0013774104683195593
18_Superior_Parietal_Lobule_right.nii,452,19,2,0.0420353982300885,0.004424778761061947
19_Right_Hippocampus.nii,262,6,2,0.022900763358778626,0.007633587786259542
19_Supramarginal_Gyrus_anterior_division_left.nii,401,4,6,0.00997506234413965,0.014962593516209476
19_Supramarginal_Gyrus_anterior_division_right.nii,360,5,3,0.013888888888888888,0.008333333333333333
1_Frontal_Pole_left.nii,3052,31,21,0.010157273918741808,0.006880733944954129
1_Frontal_Pole_right.nii,3841,91,38,0.02369174694090081,0.009893256964332206
20_Right_Amygdala.nii,149,9,1,0.06040268456375839,0.006711409395973154
20_Supramarginal_Gyrus_posterior_division_left.nii,433,90,8,0.20785219399538107,0.018475750577367205
20_Supramarginal_Gyrus_posterior_division_right.nii,725,179,7,0.24689655172413794,0.009655172413793104
21_Angular_Gyrus_left.nii,396,6,5,0.015151515151515152,0.012626262626262626
21_Angular_Gyrus_right.nii,577,14,2,0.024263431542461005,0.0034662045060658577
22_Lateral_Occipital_Cortex_superior_division_left.nii,1929,26,35,0.01347848626231208,0.018144116122343183
22_Lateral_Occipital_Cortex_superior_division_right.nii,1841,52,17,0.028245518739815317,0.009234111895708854
23_Lateral_Occipital_Cortex_inferior_division_left.nii,858,40,3,0.046620046620046623,0.0034965034965034965
23_Lateral_Occipital_Cortex_inferior_division_right.nii,779,10,6,0.012836970474967908,0.007702182284980745
24_Intracalcarine_Cortex_left.nii,190,0,5,0.0,0.02631578947368421
24_Intracalcarine_Cortex_right.nii,188,1,1,0.005319148936170213,0.005319148936170213
25_Frontal_Medial_Cortex_left.nii,117,3,0,0.02564102564102564,0.0
25_Frontal_Medial_Cortex_right.nii,182,2,7,0.01098901098901099,0.038461538461538464
26_Juxtapositional_Lobule_Cortex_formerly_Supplementary_Motor_Cortex_left.nii,310,32,0,0.1032258064516129,0.0
26_Juxtapositional_Lobule_Cortex_formerly_Supplementary_Motor_Cortex_right.nii,238,15,1,0.06302521008403361,0.004201680672268907
27_Subcallosal_Cortex_left.nii,290,8,3,0.027586206896551724,0.010344827586206896
27_Subcallosal_Cortex_right.nii,314,7,8,0.022292993630573247,0.025477707006369428
28_Paracingulate_Gyrus_left.nii,627,13,4,0.02073365231259968,0.006379585326953748
28_Paracingulate_Gyrus_right.nii,745,19,8,0.025503355704697986,0.010738255033557046
29_Cingulate_Gyrus_anterior_division_left.nii,452,4,2,0.008849557522123894,0.004424778761061947
29_Cingulate_Gyrus_anterior_division_right.nii,518,9,3,0.017374517374517374,0.005791505791505791
2_Insular_Cortex_left.nii,579,18,12,0.031088082901554404,0.02072538860103627
2_Insular_Cortex_right.nii,507,25,5,0.04930966469428008,0.009861932938856016
30_Cingulate_Gyrus_posterior_division_left.nii,537,26,24,0.048417132216014895,0.0446927374301676
30_Cingulate_Gyrus_posterior_division_right.nii,499,32,11,0.06412825651302605,0.022044088176352707
31_Precuneous_Cortex_left.nii,1174,32,54,0.027257240204429302,0.04599659284497445
31_Precuneous_Cortex_right.nii,989,20,13,0.020222446916076844,0.01314459049544995
32_Cuneal_Cortex_left.nii,182,6,4,0.03296703296703297,0.02197802197802198
32_Cuneal_Cortex_right.nii,147,3,5,0.02040816326530612,0.034013605442176874
33_Frontal_Orbital_Cortex_left.nii,826,25,4,0.03026634382566586,0.004842615012106538
33_Frontal_Orbital_Cortex_right.nii,717,23,5,0.03207810320781032,0.00697350069735007
34_Parahippocampal_Gyrus_anterior_division_left.nii,578,8,6,0.01384083044982699,0.010380622837370242
34_Parahippocampal_Gyrus_anterior_division_right.nii,621,22,5,0.03542673107890499,0.008051529790660225
35_Parahippocampal_Gyrus_posterior_division_left.nii,328,7,0,0.021341463414634148,0.0
35_Parahippocampal_Gyrus_posterior_division_right.nii,287,13,5,0.04529616724738676,0.017421602787456445
36_Lingual_Gyrus_left.nii,856,21,8,0.02453271028037383,0.009345794392523364
36_Lingual_Gyrus_right.nii,827,19,7,0.022974607013301087,0.008464328899637243
37_Temporal_Fusiform_Cortex_anterior_division_left.nii,178,4,4,0.02247191011235955,0.02247191011235955
37_Temporal_Fusiform_Cortex_anterior_division_right.nii,157,2,1,0.012738853503184714,0.006369426751592357
38_Temporal_Fusiform_Cortex_posterior_division_left.nii,455,9,3,0.01978021978021978,0.006593406593406593
38_Temporal_Fusiform_Cortex_posterior_division_right.nii,332,9,4,0.02710843373493976,0.012048192771084338
39_Temporal_Occipital_Fusiform_Cortex_left.nii,430,12,6,0.027906976744186046,0.013953488372093023
39_Temporal_Occipital_Fusiform_Cortex_right.nii,518,6,5,0.011583011583011582,0.009652509652509652
3_Superior_Frontal_Gyrus_left.nii,1476,31,19,0.02100271002710027,0.012872628726287264
