roi,n_vox,n_shift,n_drift,prop_shift,prop_drift
45_Heschl's_Gyrus_includes_H1_and_H2_right.nii,70,60,6,0.8571428571428571,0.08571428571428572
45_Heschl's_Gyrus_includes_H1_and_H2_left.nii,81,67,4,0.8271604938271605,0.04938271604938271
46_Planum_Temporale_left.nii,97,79,3,0.8144329896907216,0.030927835051546393
9_Superior_Temporal_Gyrus_anterior_division_left.nii,128,99,14,0.7734375,0.109375
10_Superior_Temporal_Gyrus_posterior_division_right.nii,478,346,36,0.7238493723849372,0.07531380753138076
10_Superior_Temporal_Gyrus_posterior_division_left.nii,392,278,29,0.7091836734693877,0.07397959183673469
9_Superior_Temporal_Gyrus_anterior_division_right.nii,132,93,6,0.7045454545454546,0.045454545454545456
43_Parietal_Operculum_Cortex_left.nii,190,127,10,0.6684210526315789,0.05263157894736842
46_Planum_Temporale_right.nii,82,51,5,0.6219512195121951,0.06097560975609756
44_Planum_Polare_left.nii,147,78,10,0.5306122448979592,0.06802721088435375
44_Planum_Polare_right.nii,145,69,11,0.47586206896551725,0.07586206896551724
12_Middle_Temporal_Gyrus_posterior_division_right.nii,351,167,32,0.4757834757834758,0.09116809116809117
11_Middle_Temporal_Gyrus_anterior_division_left.nii,165,72,14,0.43636363636363634,0.08484848484848485
42_Central_Opercular_Cortex_left.nii,401,164,30,0.4089775561097257,0.07481296758104738
11_Middle_Temporal_Gyrus_anterior_division_right.nii,114,44,8,0.38596491228070173,0.07017543859649122
5_Inferior_Frontal_Gyrus_pars_triangularis_right.nii,314,110,15,0.3503184713375796,0.04777070063694268
20_Supramarginal_Gyrus_posterior_division_right.nii,725,239,65,0.3296551724137931,0.0896551724137931
12_Middle_Temporal_Gyrus_posterior_division_left.nii,365,113,31,0.3095890410958904,0.08493150684931507
42_Central_Opercular_Cortex_right.nii,373,115,44,0.30831099195710454,0.11796246648793565
20_Supramarginal_Gyrus_posterior_division_left.nii,433,124,47,0.2863741339491917,0.10854503464203233
43_Parietal_Operculum_Cortex_right.nii,156,44,10,0.28205128205128205,0.0641025641025641
41_Frontal_Operculum_Cortex_left.nii,213,40,14,0.18779342723004694,0.06572769953051644
13_Middle_Temporal_Gyrus_temporooccipital_part_left.nii,341,64,40,0.187683284457478,0.11730205278592376
4_Middle_Frontal_Gyrus_left.nii,1180,219,140,0.18559322033898304,0.11864406779661017
4_Middle_Frontal_Gyrus_right.nii,1334,241,153,0.18065967016491755,0.11469265367316342
