roi,n_vox,n_shift,n_drift,prop_shift,prop_drift
10_Left_Amygdala.nii,106,64,53,0.6037735849056604,0.5
10_Superior_Temporal_Gyrus_posterior_division_left.nii,392,94,190,0.23979591836734693,0.4846938775510204
10_Superior_Temporal_Gyrus_posterior_division_right.nii,478,79,207,0.16527196652719664,0.4330543933054393
11_Middle_Temporal_Gyrus_anterior_division_left.nii,165,47,68,0.28484848484848485,0.4121212121212121
11_Middle_Temporal_Gyrus_anterior_division_right.nii,114,28,65,0.24561403508771928,0.5701754385964912
12_Middle_Temporal_Gyrus_posterior_division_left.nii,365,111,172,0.3041095890410959,0.4712328767123288
12_Middle_Temporal_Gyrus_posterior_division_right.nii,351,86,142,0.245014245014245,0.4045584045584046
13_Middle_Temporal_Gyrus_temporooccipital_part_left.nii,341,119,159,0.3489736070381232,0.4662756598240469
13_Middle_Temporal_Gyrus_temporooccipital_part_right.nii,424,165,195,0.3891509433962264,0.45990566037735847
14_Inferior_Temporal_Gyrus_anterior_division_left.nii,89,43,32,0.48314606741573035,0.3595505617977528
14_Inferior_Temporal_Gyrus_anterior_division_right.nii,92,35,42,0.3804347826086957,0.45652173913043476
14_Right_Lateral_Ventricle.nii,272,139,129,0.5110294117647058,0.4742647058823529
15_Inferior_Temporal_Gyrus_posterior_division_left.nii,327,109,148,0.3333333333333333,0.4525993883792049
15_Inferior_Temporal_Gyrus_posterior_division_right.nii,325,132,118,0.40615384615384614,0.3630769230769231
15_Right_Thalamus.nii,80,35,38,0.4375,0.475
16_Inferior_Temporal_Gyrus_temporooccipital_part_left.nii,363,155,158,0.42699724517906334,0.43526170798898073
16_Inferior_Temporal_Gyrus_temporooccipital_part_right.nii,342,167,153,0.48830409356725146,0.4473684210526316
16_Right_Caudate.nii,45,20,18,0.4444444444444444,0.4
17_Postcentral_Gyrus_left.nii,1362,543,621,0.3986784140969163,0.45594713656387664
17_Postcentral_Gyrus_right.nii,1274,533,545,0.41836734693877553,0.42778649921507067
18_Superior_Parietal_Lobule_left.nii,726,360,292,0.49586776859504134,0.4022038567493113
18_Superior_Parietal_Lobule_right.nii,452,140,207,0.30973451327433627,0.4579646017699115
19_Right_Hippocampus.nii,262,121,113,0.4618320610687023,0.4312977099236641
19_Supramarginal_Gyrus_anterior_division_left.nii,401,171,121,0.42643391521197005,0.30174563591022446
19_Supramarginal_Gyrus_anterior_division_right.nii,360,150,152,0.4166666666666667,0.4222222222222222
1_Frontal_Pole_left.nii,3052,1370,1216,0.4488859764089122,0.3984272608125819
1_Frontal_Pole_right.nii,3841,1628,1682,0.42384795626139027,0.4379067951054413
20_Right_Amygdala.nii,149,52,76,0.348993288590604,0.5100671140939598
20_Supramarginal_Gyrus_posterior_division_left.nii,433,178,203,0.4110854503464203,0.46882217090069284
20_Supramarginal_Gyrus_posterior_division_right.nii,725,253,261,0.3489655172413793,0.36
21_Angular_Gyrus_left.nii,396,184,165,0.46464646464646464,0.4166666666666667
21_Angular_Gyrus_right.nii,577,233,235,0.4038128249566724,0.4072790294627383
22_Lateral_Occipital_Cortex_superior_division_left.nii,1929,893,669,0.4629341627786418,0.3468118195956454
22_Lateral_Occipital_Cortex_superior_division_right.nii,1841,805,735,0.4372623574144487,0.39923954372623577
23_Lateral_Occipital_Cortex_inferior_division_left.nii,858,341,351,0.3974358974358974,0.4090909090909091
23_Lateral_Occipital_Cortex_inferior_division_right.nii,779,371,368,0.4762516046213094,0.472400513478819
24_Intracalcarine_Cortex_left.nii,190,112,42,0.5894736842105263,0.22105263157894736
24_Intracalcarine_Cortex_right.nii,188,137,115,0.7287234042553191,0.6117021276595744
25_Frontal_Medial_Cortex_left.nii,117,54,53,0.46153846153846156,0.452991452991453
25_Frontal_Medial_Cortex_right.nii,182,63,75,0.34615384615384615,0.41208791208791207
26_Juxtapositional_Lobule_Cortex_formerly_Supplementary_Motor_Cortex_left.nii,310,116,141,0.3741935483870968,0.45483870967741935
26_Juxtapositional_Lobule_Cortex_formerly_Supplementary_Motor_Cortex_right.nii,238,100,106,0.42016806722689076,0.44537815126050423
27_Subcallosal_Cortex_left.nii,290,114,130,0.3931034482758621,0.4482758620689655
27_Subcallosal_Cortex_right.nii,314,113,140,0.35987261146496813,0.445859872611465
28_Paracingulate_Gyrus_left.nii,627,277,200,0.44178628389154706,0.3189792663476874
