roi,mean_beta_shift_unique,mean_beta_drift_unique,mean_delta_beta,p_simes_unique_shift,p_simes_unique_drift,p_simes_delta_beta,direction,n_vox
10_Left_Amygdala.nii,-0.00035158668149102575,-0.0002855085014127657,-6.60781800782601e-05,0.3915744093280369,0.20652674984589664,0.21467430261943415,n.s.,106
10_Superior_Temporal_Gyrus_posterior_division_left.nii,0.059250175825930645,0.0047626337031078485,0.054487542122822794,2.2453009033851512e-08,0.29839557455135335,1.2247480769333164e-06,shift>drift,392
10_Superior_Temporal_Gyrus_posterior_division_right.nii,0.05168581745474108,0.003558796642077008,0.04812702081266407,5.018507385304998e-08,0.036795139004477964,1.0794608824702957e-06,shift>drift,478
11_Left_Accumbens.nii,8.24866320863731e-05,-0.0004952893144060662,0.0005777759464924398,0.33198659475279607,0.7439771233070808,0.4120754683201447,n.s.,10
11_Middle_Temporal_Gyrus_anterior_division_left.nii,0.03184458159256064,-0.0038814493787506592,0.0357260309713113,5.636450679999167e-07,0.03330293110105605,3.823398451252026e-06,shift>drift,165
11_Middle_Temporal_Gyrus_anterior_division_right.nii,0.01965399500926354,-0.0011173454839167544,0.020771340493180294,5.92877430494163e-06,0.047036065963092906,2.162688665793943e-06,shift>drift,114
12_Middle_Temporal_Gyrus_posterior_division_left.nii,0.018112983713994984,0.0019143412338042502,0.016198642480190734,5.035401692313311e-07,0.003941026290226196,5.289434129916024e-06,shift>drift,365
12_Middle_Temporal_Gyrus_posterior_division_right.nii,0.025986419623565054,0.0029915769445022287,0.02299484267906282,4.500616218608311e-09,0.1626891234988594,2.325890033480056e-06,shift>drift,351
13_Middle_Temporal_Gyrus_temporooccipital_part_left.nii,0.010620185910573511,-0.0007610989475114329,0.011381284858084944,1.7029443647240665e-05,0.0050143795507048535,0.002453832540480326,shift>drift,341
13_Middle_Temporal_Gyrus_temporooccipital_part_right.nii,0.0017705588590029731,-0.0028459731699618414,0.004616532028964815,4.467590279398004e-07,0.05614679420733267,6.468971712664792e-05,shift>drift,424
14_Inferior_Temporal_Gyrus_anterior_division_left.nii,0.0018184589262074011,-0.002205470061916131,0.004023928988123531,0.19592610513367115,0.006209994674023349,0.1976095716335864,n.s.,89
14_Inferior_Temporal_Gyrus_anterior_division_right.nii,-0.00019611026057343869,0.0009104345585376378,-0.001106544819111077,0.019815337676516515,0.06817023216685071,0.053251621573475176,n.s.,92
14_Right_Lateral_Ventricle.nii,-0.00031526700813920333,-0.0006335174204443206,0.0003182504123051168,0.14547384567486935,0.0704600730900281,0.20444436892255385,n.s.,272
15_Inferior_Temporal_Gyrus_posterior_division_left.nii,0.004221261706298382,0.0003520709392082304,0.0038691907670901525,0.008169403430690943,0.04475707569704064,0.024264338865617005,shift>drift,327
15_Inferior_Temporal_Gyrus_posterior_division_right.nii,0.0036910566363964857,0.0009141245763551027,0.002776932060041383,0.0033134270937227235,0.005001179861272149,0.011670881296310713,shift>drift,325
15_Right_Thalamus.nii,-0.0017238239395263003,-0.00504046022538608,0.003316636285859779,0.24888942346931867,0.0071503902623617655,0.22048340686826784,n.s.,80
16_Inferior_Temporal_Gyrus_temporooccipital_part_left.nii,0.0038803844800331102,-0.0035662424708366018,0.007446626950869713,0.05209144417989523,0.00012650145345100578,0.024028975995723935,shift>drift,363
16_Inferior_Temporal_Gyrus_temporooccipital_part_right.nii,0.00025097717655446787,-0.0008996548434829202,0.001150632020037388,0.03463366573887467,0.006077220780624242,0.005706002268112633,shift>drift,342
16_Right_Caudate.nii,-0.003271655441570669,-0.002050419090433065,-0.0012212363511376035,0.029474380835174382,0.16960316166130232,0.6386955367281395,n.s.,45
17_Postcentral_Gyrus_left.nii,0.001876365188819298,-0.0019318974287395134,0.003808262617558812,0.03286547459261343,0.006512422144211137,0.0011899911686081377,shift>drift,1362
17_Postcentral_Gyrus_right.nii,-0.0002976827360880709,-0.0003395371006303238,4.185436454225421e-05,0.0004902837812177479,0.028574722114910602,0.04370139661438291,shift>drift,1274
17_Right_Putamen.nii,-0.0026253667256174056,-0.0027894105894680295,0.00016404386385062282,0.049549637889022,0.020737306124634293,0.040975896547500064,shift>drift,5
18_Right_Pallidum.nii,,,,,,,n.s.,0
18_Superior_Parietal_Lobule_left.nii,0.0017602943876635032,-0.0010975439741468622,0.002857838361810365,0.01798056345183384,0.011694262620910143,0.057893809603097084,n.s.,726
18_Superior_Parietal_Lobule_right.nii,0.008700545856788491,0.002322865422678152,0.006377680434110336,0.03162144038979156,0.04928434636591725,0.06852111824178575,n.s.,452
19_Right_Hippocampus.nii,-0.0032273544225605473,0.0002183072594823839,-0.003445661682042931,0.00022784102733698955,0.09971661519430207,0.04491476167928059,drift>shift,262
19_Supramarginal_Gyrus_anterior_division_left.nii,0.006017686559613635,-0.007390044176758075,0.01340773073637171,0.0008676366619919926,0.013550254614077776,0.035221998829837835,shift>drift,401
19_Supramarginal_Gyrus_anterior_division_right.nii,0.0044005793587716625,-0.00011962691563169005,0.004520206274403352,0.04282095951645745,0.06797145935362506,0.049313772190127454,shift>drift,360
1_Frontal_Pole_left.nii,0.002359064554101572,-0.003629368932243365,0.005988433486344937,0.012714664060434694,0.002172237745715606,0.01866410819910652,shift>drift,3052
1_Frontal_Pole_right.nii,0.003125758612076463,-0.004806956664231546,0.00793271527630801,0.07852069792085047,0.0035796485704203437,0.010973298445342075,shift>drift,3841
20_Right_Amygdala.nii,-0.00029258302674781226,0.0021335413114142833,-0.002426124338162096,0.0012145945030778676,0.0018409559337715473,0.07067323629928071,n.s.,149
20_Supramarginal_Gyrus_posterior_division_left.nii,0.019727293639238176,-0.004925925691682425,0.0246532193309206,8.978853892199761e-07,0.008455553251377177,8.709790915258324e-06,shift>drift,433
