roi,n_vox,n_shift,n_drift,prop_shift,prop_drift
5_Left_Caudate.nii,49,0,4,0.0,0.08163265306122448
21_Angular_Gyrus_left.nii,396,5,24,0.012626262626262626,0.06060606060606061
31_Precuneous_Cortex_left.nii,1174,22,67,0.018739352640545145,0.05706984667802385
30_Cingulate_Gyrus_posterior_division_left.nii,537,16,27,0.0297951582867784,0.05027932960893855
22_Lateral_Occipital_Cortex_superior_division_right.nii,1841,34,85,0.018468223791417708,0.04617055947854427
30_Cingulate_Gyrus_posterior_division_right.nii,499,30,21,0.06012024048096192,0.04208416833667335
5_Inferior_Frontal_Gyrus_pars_triangularis_left.nii,365,17,15,0.04657534246575343,0.0410958904109589
15_Right_Thalamus.nii,80,0,3,0.0,0.0375
6_Inferior_Frontal_Gyrus_pars_opercularis_right.nii,297,7,10,0.02356902356902357,0.03367003367003367
25_Frontal_Medial_Cortex_right.nii,182,2,6,0.01098901098901099,0.03296703296703297
9_Superior_Temporal_Gyrus_anterior_division_left.nii,128,91,4,0.7109375,0.03125
22_Lateral_Occipital_Cortex_superior_division_left.nii,1929,16,56,0.00829445308449974,0.029030585795749093
40_Occipital_Fusiform_Gyrus_right.nii,674,6,19,0.008902077151335312,0.028189910979228485
32_Cuneal_Cortex_left.nii,182,5,5,0.027472527472527472,0.027472527472527472
13_Middle_Temporal_Gyrus_temporooccipital_part_left.nii,341,27,9,0.07917888563049853,0.026392961876832845
4_Middle_Frontal_Gyrus_left.nii,1180,110,31,0.09322033898305085,0.026271186440677965
19_Supramarginal_Gyrus_anterior_division_left.nii,401,4,10,0.00997506234413965,0.02493765586034913
28_Paracingulate_Gyrus_right.nii,745,10,18,0.013422818791946308,0.024161073825503355
4_Middle_Frontal_Gyrus_right.nii,1334,108,31,0.08095952023988005,0.023238380809595203
20_Supramarginal_Gyrus_posterior_division_left.nii,433,89,10,0.20554272517321015,0.023094688221709007
14_Inferior_Temporal_Gyrus_anterior_division_left.nii,89,0,2,0.0,0.02247191011235955
2_Insular_Cortex_right.nii,507,23,11,0.045364891518737675,0.021696252465483234
3_Superior_Frontal_Gyrus_left.nii,1476,27,32,0.018292682926829267,0.02168021680216802
24_Intracalcarine_Cortex_left.nii,190,0,4,0.0,0.021052631578947368
28_Paracingulate_Gyrus_left.nii,627,10,13,0.01594896331738437,0.02073365231259968
