roi,n_vox,n_shift,n_drift,prop_shift,prop_drift
10_Left_Amygdala.nii,106,0,0,0.0,0.0
10_Superior_Temporal_Gyrus_posterior_division_left.nii,392,223,1,0.5688775510204082,0.002551020408163265
10_Superior_Temporal_Gyrus_posterior_division_right.nii,478,277,5,0.5794979079497908,0.010460251046025104
11_Middle_Temporal_Gyrus_anterior_division_left.nii,165,52,5,0.3151515151515151,0.030303030303030304
11_Middle_Temporal_Gyrus_anterior_division_right.nii,114,27,3,0.23684210526315788,0.02631578947368421
12_Middle_Temporal_Gyrus_posterior_division_left.nii,365,76,5,0.20821917808219179,0.0136986301369863
12_Middle_Temporal_Gyrus_posterior_division_right.nii,351,115,3,0.32763532763532766,0.008547008547008548
13_Middle_Temporal_Gyrus_temporooccipital_part_left.nii,341,27,10,0.07917888563049853,0.02932551319648094
13_Middle_Temporal_Gyrus_temporooccipital_part_right.nii,424,22,12,0.05188679245283019,0.02830188679245283
14_Inferior_Temporal_Gyrus_anterior_division_left.nii,89,0,4,0.0,0.0449438202247191
14_Inferior_Temporal_Gyrus_anterior_division_right.nii,92,2,2,0.021739130434782608,0.021739130434782608
14_Right_Lateral_Ventricle.nii,272,3,6,0.011029411764705883,0.022058823529411766
15_Inferior_Temporal_Gyrus_posterior_division_left.nii,327,7,5,0.021406727828746176,0.01529051987767584
15_Inferior_Temporal_Gyrus_posterior_division_right.nii,325,16,4,0.04923076923076923,0.012307692307692308
15_Right_Thalamus.nii,80,0,4,0.0,0.05
16_Inferior_Temporal_Gyrus_temporooccipital_part_left.nii,363,9,14,0.024793388429752067,0.03856749311294766
16_Inferior_Temporal_Gyrus_temporooccipital_part_right.nii,342,6,9,0.017543859649122806,0.02631578947368421
16_Right_Caudate.nii,45,1,0,0.022222222222222223,0.0
17_Postcentral_Gyrus_left.nii,1362,33,24,0.024229074889867842,0.01762114537444934
17_Postcentral_Gyrus_right.nii,1274,22,25,0.01726844583987441,0.019623233908948195
18_Superior_Parietal_Lobule_left.nii,726,4,17,0.005509641873278237,0.023415977961432508
18_Superior_Parietal_Lobule_right.nii,452,14,6,0.030973451327433628,0.01327433628318584
19_Right_Hippocampus.nii,262,6,4,0.022900763358778626,0.015267175572519083
19_Supramarginal_Gyrus_anterior_division_left.nii,401,4,16,0.00997506234413965,0.0399002493765586
19_Supramarginal_Gyrus_anterior_division_right.nii,360,4,3,0.011111111111111112,0.008333333333333333
1_Frontal_Pole_left.nii,3052,22,85,0.007208387942332897,0.027850589777195282
1_Frontal_Pole_right.nii,3841,69,98,0.017964071856287425,0.02551418901327779
20_Right_Amygdala.nii,149,8,3,0.053691275167785234,0.020134228187919462
20_Supramarginal_Gyrus_posterior_division_left.nii,433,89,18,0.20554272517321015,0.04157043879907621
20_Supramarginal_Gyrus_posterior_division_right.nii,725,173,19,0.2386206896551724,0.02620689655172414
21_Angular_Gyrus_left.nii,396,5,34,0.012626262626262626,0.08585858585858586
21_Angular_Gyrus_right.nii,577,13,23,0.022530329289428077,0.03986135181975736
22_Lateral_Occipital_Cortex_superior_division_left.nii,1929,16,88,0.00829445308449974,0.04561949196474858
22_Lateral_Occipital_Cortex_superior_division_right.nii,1841,34,110,0.018468223791417708,0.05975013579576317
23_Lateral_Occipital_Cortex_inferior_division_left.nii,858,35,12,0.04079254079254079,0.013986013986013986
23_Lateral_Occipital_Cortex_inferior_division_right.nii,779,8,13,0.010269576379974325,0.01668806161745828
24_Intracalcarine_Cortex_left.nii,190,0,8,0.0,0.042105263157894736
24_Intracalcarine_Cortex_right.nii,188,1,1,0.005319148936170213,0.005319148936170213
25_Frontal_Medial_Cortex_left.nii,117,2,3,0.017094017094017096,0.02564102564102564
25_Frontal_Medial_Cortex_right.nii,182,2,9,0.01098901098901099,0.04945054945054945
26_Juxtapositional_Lobule_Cortex_formerly_Supplementary_Motor_Cortex_left.nii,310,30,3,0.0967741935483871,0.00967741935483871
26_Juxtapositional_Lobule_Cortex_formerly_Supplementary_Motor_Cortex_right.nii,238,14,2,0.058823529411764705,0.008403361344537815
27_Subcallosal_Cortex_left.nii,290,7,6,0.02413793103448276,0.020689655172413793
27_Subcallosal_Cortex_right.nii,314,4,11,0.012738853503184714,0.03503184713375796
28_Paracingulate_Gyrus_left.nii,627,10,19,0.01594896331738437,0.030303030303030304
28_Paracingulate_Gyrus_right.nii,745,10,29,0.013422818791946308,0.038926174496644296
29_Cingulate_Gyrus_anterior_division_left.nii,452,1,4,0.0022123893805309734,0.008849557522123894
29_Cingulate_Gyrus_anterior_division_right.nii,518,7,11,0.013513513513513514,0.021235521235521235
2_Insular_Cortex_left.nii,579,13,9,0.022452504317789293,0.015544041450777202
2_Insular_Cortex_right.nii,507,23,18,0.045364891518737675,0.03550295857988166
30_Cingulate_Gyrus_posterior_division_left.nii,537,16,42,0.0297951582867784,0.0782122905027933
30_Cingulate_Gyrus_posterior_division_right.nii,499,30,30,0.06012024048096192,0.06012024048096192
31_Precuneous_Cortex_left.nii,1174,22,98,0.018739352640545145,0.08347529812606473
31_Precuneous_Cortex_right.nii,989,13,33,0.01314459049544995,0.033367037411526794
32_Cuneal_Cortex_left.nii,182,5,14,0.027472527472527472,0.07692307692307693
32_Cuneal_Cortex_right.nii,147,2,3,0.013605442176870748,0.02040816326530612
33_Frontal_Orbital_Cortex_left.nii,826,14,15,0.01694915254237288,0.018159806295399514
33_Frontal_Orbital_Cortex_right.nii,717,18,18,0.02510460251046025,0.02510460251046025
34_Parahippocampal_Gyrus_anterior_division_left.nii,578,7,13,0.012110726643598616,0.02249134948096886
34_Parahippocampal_Gyrus_anterior_division_right.nii,621,16,13,0.02576489533011272,0.020933977455716585
35_Parahippocampal_Gyrus_posterior_division_left.nii,328,5,5,0.01524390243902439,0.01524390243902439
35_Parahippocampal_Gyrus_posterior_division_right.nii,287,10,4,0.03484320557491289,0.013937282229965157
36_Lingual_Gyrus_left.nii,856,15,17,0.017523364485981307,0.01985981308411215
36_Lingual_Gyrus_right.nii,827,15,26,0.018137847642079808,0.03143893591293833
37_Temporal_Fusiform_Cortex_anterior_division_left.nii,178,4,3,0.02247191011235955,0.016853932584269662
37_Temporal_Fusiform_Cortex_anterior_division_right.nii,157,2,5,0.012738853503184714,0.03184713375796178
38_Temporal_Fusiform_Cortex_posterior_division_left.nii,455,6,13,0.013186813186813187,0.02857142857142857
38_Temporal_Fusiform_Cortex_posterior_division_right.nii,332,4,8,0.012048192771084338,0.024096385542168676
39_Temporal_Occipital_Fusiform_Cortex_left.nii,430,11,13,0.02558139534883721,0.030232558139534883
39_Temporal_Occipital_Fusiform_Cortex_right.nii,518,6,9,0.011583011583011582,0.017374517374517374
3_Superior_Frontal_Gyrus_left.nii,1476,27,55,0.018292682926829267,0.03726287262872629
3_Superior_Frontal_Gyrus_right.nii,1213,28,33,0.023083264633140973,0.02720527617477329
40_Occipital_Fusiform_Gyrus_left.nii,597,8,11,0.01340033500837521,0.018425460636515914
40_Occipital_Fusiform_Gyrus_right.nii,674,6,34,0.008902077151335312,0.050445103857566766
41_Frontal_Operculum_Cortex_left.nii,213,6,5,0.028169014084507043,0.023474178403755867
41_Frontal_Operculum_Cortex_right.nii,154,3,4,0.01948051948051948,0.025974025974025976
42_Central_Opercular_Cortex_left.nii,401,122,2,0.30423940149625933,0.004987531172069825
42_Central_Opercular_Cortex_right.nii,373,72,6,0.19302949061662197,0.0160857908847185
43_Parietal_Operculum_Cortex_left.nii,190,96,1,0.5052631578947369,0.005263157894736842
43_Parietal_Operculum_Cortex_right.nii,156,24,3,0.15384615384615385,0.019230769230769232
44_Planum_Polare_left.nii,147,60,1,0.40816326530612246,0.006802721088435374
44_Planum_Polare_right.nii,145,55,1,0.3793103448275862,0.006896551724137931
45_Heschl's_Gyrus_includes_H1_and_H2_left.nii,81,63,1,0.7777777777777778,0.012345679012345678
45_Heschl's_Gyrus_includes_H1_and_H2_right.nii,70,52,0,0.7428571428571429,0.0
46_Planum_Temporale_left.nii,97,68,1,0.7010309278350515,0.010309278350515464
46_Planum_Temporale_right.nii,82,32,2,0.3902439024390244,0.024390243902439025
47_Supracalcarine_Cortex_left.nii,50,0,1,0.0,0.02
47_Supracalcarine_Cortex_right.nii,23,0,0,0.0,0.0
48_Occipital_Pole_left.nii,835,0,15,0.0,0.017964071856287425
48_Occipital_Pole_right.nii,748,2,11,0.00267379679144385,0.014705882352941176
4_Left_Thalamus.nii,123,0,0,0.0,0.0
4_Middle_Frontal_Gyrus_left.nii,1180,110,52,0.09322033898305085,0.04406779661016949
4_Middle_Frontal_Gyrus_right.nii,1334,108,54,0.08095952023988005,0.04047976011994003
5_Inferior_Frontal_Gyrus_pars_triangularis_left.nii,365,17,22,0.04657534246575343,0.06027397260273973
5_Inferior_Frontal_Gyrus_pars_triangularis_right.nii,314,60,7,0.1910828025477707,0.022292993630573247
5_Left_Caudate.nii,49,0,5,0.0,0.10204081632653061
6_Inferior_Frontal_Gyrus_pars_opercularis_left.nii,331,19,5,0.05740181268882175,0.015105740181268883
6_Inferior_Frontal_Gyrus_pars_opercularis_right.nii,297,7,16,0.02356902356902357,0.05387205387205387
7_Precentral_Gyrus_left.nii,1674,126,28,0.07526881720430108,0.016726403823178016
7_Precentral_Gyrus_right.nii,1481,67,41,0.04523970290344362,0.027683997299122215
8_Temporal_Pole_left.nii,1249,108,26,0.08646917534027222,0.020816653322658127
8_Temporal_Pole_right.nii,1264,113,27,0.0893987341772152,0.021360759493670885
9_Left_Hippocampus.nii,258,5,4,0.01937984496124031,0.015503875968992248
9_Superior_Temporal_Gyrus_anterior_division_left.nii,128,91,6,0.7109375,0.046875
9_Superior_Temporal_Gyrus_anterior_division_right.nii,132,81,1,0.6136363636363636,0.007575757575757576
