roi,n_vox,n_shift,n_drift,prop_shift,prop_drift
5_Left_Caudate.nii,49,0,5,0.0,0.10204081632653061
21_Angular_Gyrus_left.nii,396,5,34,0.012626262626262626,0.08585858585858586
31_Precuneous_Cortex_left.nii,1174,22,98,0.018739352640545145,0.08347529812606473
30_Cingulate_Gyrus_posterior_division_left.nii,537,16,42,0.0297951582867784,0.0782122905027933
32_Cuneal_Cortex_left.nii,182,5,14,0.027472527472527472,0.07692307692307693
5_Inferior_Frontal_Gyrus_pars_triangularis_left.nii,365,17,22,0.04657534246575343,0.06027397260273973
30_Cingulate_Gyrus_posterior_division_right.nii,499,30,30,0.06012024048096192,0.06012024048096192
22_Lateral_Occipital_Cortex_superior_division_right.nii,1841,34,110,0.018468223791417708,0.05975013579576317
6_Inferior_Frontal_Gyrus_pars_opercularis_right.nii,297,7,16,0.02356902356902357,0.05387205387205387
40_Occipital_Fusiform_Gyrus_right.nii,674,6,34,0.008902077151335312,0.050445103857566766
15_Right_Thalamus.nii,80,0,4,0.0,0.05
25_Frontal_Medial_Cortex_right.nii,182,2,9,0.01098901098901099,0.04945054945054945
9_Superior_Temporal_Gyrus_anterior_division_left.nii,128,91,6,0.7109375,0.046875
22_Lateral_Occipital_Cortex_superior_division_left.nii,1929,16,88,0.00829445308449974,0.04561949196474858
14_Inferior_Temporal_Gyrus_anterior_division_left.nii,89,0,4,0.0,0.0449438202247191
4_Middle_Frontal_Gyrus_left.nii,1180,110,52,0.09322033898305085,0.04406779661016949
24_Intracalcarine_Cortex_left.nii,190,0,8,0.0,0.042105263157894736
20_Supramarginal_Gyrus_posterior_division_left.nii,433,89,18,0.20554272517321015,0.04157043879907621
4_Middle_Frontal_Gyrus_right.nii,1334,108,54,0.08095952023988005,0.04047976011994003
19_Supramarginal_Gyrus_anterior_division_left.nii,401,4,16,0.00997506234413965,0.0399002493765586
21_Angular_Gyrus_right.nii,577,13,23,0.022530329289428077,0.03986135181975736
28_Paracingulate_Gyrus_right.nii,745,10,29,0.013422818791946308,0.038926174496644296
16_Inferior_Temporal_Gyrus_temporooccipital_part_left.nii,363,9,14,0.024793388429752067,0.03856749311294766
3_Superior_Frontal_Gyrus_left.nii,1476,27,55,0.018292682926829267,0.03726287262872629
2_Insular_Cortex_right.nii,507,23,18,0.045364891518737675,0.03550295857988166
