roi,n_vox,n_shift,n_drift,prop_shift,prop_drift
24_Intracalcarine_Cortex_right.nii,188,135,112,0.7180851063829787,0.5957446808510638
10_Left_Amygdala.nii,106,64,53,0.6037735849056604,0.5
47_Supracalcarine_Cortex_left.nii,50,30,2,0.6,0.04
24_Intracalcarine_Cortex_left.nii,190,109,26,0.5736842105263158,0.1368421052631579
48_Occipital_Pole_left.nii,835,479,341,0.5736526946107784,0.40838323353293415
47_Supracalcarine_Cortex_right.nii,23,13,6,0.5652173913043478,0.2608695652173913
40_Occipital_Fusiform_Gyrus_right.nii,674,377,272,0.5593471810089021,0.4035608308605341
5_Left_Caudate.nii,49,27,20,0.5510204081632653,0.40816326530612246
14_Right_Lateral_Ventricle.nii,272,140,140,0.5147058823529411,0.5147058823529411
4_Left_Thalamus.nii,123,63,63,0.5121951219512195,0.5121951219512195
48_Occipital_Pole_right.nii,748,382,355,0.5106951871657754,0.47459893048128343
16_Inferior_Temporal_Gyrus_temporooccipital_part_right.nii,342,173,153,0.5058479532163743,0.4473684210526316
18_Superior_Parietal_Lobule_left.nii,726,362,280,0.4986225895316804,0.3856749311294766
36_Lingual_Gyrus_right.nii,827,412,332,0.49818621523579204,0.4014510278113664
37_Temporal_Fusiform_Cortex_anterior_division_right.nii,157,78,58,0.4968152866242038,0.36942675159235666
40_Occipital_Fusiform_Gyrus_left.nii,597,296,293,0.49581239530988275,0.490787269681742
9_Superior_Temporal_Gyrus_anterior_division_left.nii,128,62,56,0.484375,0.4375
35_Parahippocampal_Gyrus_posterior_division_left.nii,328,157,158,0.47865853658536583,0.4817073170731707
23_Lateral_Occipital_Cortex_inferior_division_right.nii,779,372,373,0.47753530166880614,0.47881899871630296
29_Cingulate_Gyrus_anterior_division_right.nii,518,246,230,0.4749034749034749,0.444015444015444
14_Inferior_Temporal_Gyrus_anterior_division_left.nii,89,42,33,0.47191011235955055,0.3707865168539326
38_Temporal_Fusiform_Cortex_posterior_division_left.nii,455,212,167,0.46593406593406594,0.367032967032967
39_Temporal_Occipital_Fusiform_Cortex_right.nii,518,241,192,0.46525096525096526,0.37065637065637064
22_Lateral_Occipital_Cortex_superior_division_left.nii,1929,894,700,0.463452566096423,0.36288232244686364
21_Angular_Gyrus_left.nii,396,180,156,0.45454545454545453,0.3939393939393939
