roi,n_vox,n_shift,n_drift,prop_shift,prop_drift
45_Heschl's_Gyrus_includes_H1_and_H2_left.nii,81,64,0,0.7901234567901234,0.0
45_Heschl's_Gyrus_includes_H1_and_H2_right.nii,70,53,1,0.7571428571428571,0.014285714285714285
46_Planum_Temporale_left.nii,97,70,1,0.7216494845360825,0.010309278350515464
9_Superior_Temporal_Gyrus_anterior_division_left.nii,128,92,4,0.71875,0.03125
9_Superior_Temporal_Gyrus_anterior_division_right.nii,132,82,0,0.6212121212121212,0.0
10_Superior_Temporal_Gyrus_posterior_division_right.nii,478,291,3,0.608786610878661,0.006276150627615063
10_Superior_Temporal_Gyrus_posterior_division_left.nii,392,232,0,0.5918367346938775,0.0
43_Parietal_Operculum_Cortex_left.nii,190,99,0,0.5210526315789473,0.0
46_Planum_Temporale_right.nii,82,35,2,0.4268292682926829,0.024390243902439025
44_Planum_Polare_left.nii,147,61,0,0.41496598639455784,0.0
44_Planum_Polare_right.nii,145,57,0,0.3931034482758621,0.0
12_Middle_Temporal_Gyrus_posterior_division_right.nii,351,128,2,0.3646723646723647,0.005698005698005698
11_Middle_Temporal_Gyrus_anterior_division_left.nii,165,54,2,0.32727272727272727,0.012121212121212121
42_Central_Opercular_Cortex_left.nii,401,131,2,0.3266832917705736,0.004987531172069825
11_Middle_Temporal_Gyrus_anterior_division_right.nii,114,29,1,0.2543859649122807,0.008771929824561403
20_Supramarginal_Gyrus_posterior_division_right.nii,725,183,17,0.2524137931034483,0.023448275862068966
5_Inferior_Frontal_Gyrus_pars_triangularis_right.nii,314,71,4,0.22611464968152867,0.012738853503184714
42_Central_Opercular_Cortex_right.nii,373,80,5,0.21447721179624665,0.013404825737265416
12_Middle_Temporal_Gyrus_posterior_division_left.nii,365,77,3,0.21095890410958903,0.00821917808219178
20_Supramarginal_Gyrus_posterior_division_left.nii,433,90,7,0.20785219399538107,0.016166281755196306
43_Parietal_Operculum_Cortex_right.nii,156,28,3,0.1794871794871795,0.019230769230769232
8_Temporal_Pole_right.nii,1264,131,14,0.10363924050632911,0.011075949367088608
26_Juxtapositional_Lobule_Cortex_formerly_Supplementary_Motor_Cortex_left.nii,310,32,2,0.1032258064516129,0.0064516129032258064
4_Middle_Frontal_Gyrus_left.nii,1180,117,16,0.09915254237288136,0.013559322033898305
8_Temporal_Pole_left.nii,1249,119,8,0.09527622097678143,0.006405124099279423
