roi,story,delta_beta,beta_shift_unique,beta_drift_unique
10_Left_Amygdala.nii,das_manuskript_in_der_flasche,-0.006505060795731709,-0.001960489196030171,0.004544571599701539
10_Left_Amygdala.nii,der_blaue_karfunkel,0.004738060621000753,0.0036336343891817035,-0.0011044262318190476
10_Left_Amygdala.nii,der_fall_stretelli,-0.013935252352285503,-0.007712943360453681,0.006222308991831815
10_Left_Amygdala.nii,der_katechismus_der_familie_musgrave,-0.012761802042279695,-0.005505233349237626,0.007256568693042068
10_Left_Amygdala.nii,die_maske_des_roten_todes,-0.02131893766857123,-0.017331884815282795,0.00398705285328844
10_Left_Amygdala.nii,die_pflanzen_des_dr,0.008664522330353301,0.0036383746173112735,-0.005026147713042029
10_Left_Amygdala.nii,die_schwarze_katze,0.004440632696009627,0.002888818670816671,-0.0015518140251929552
10_Left_Amygdala.nii,fuenf_apfelsinenkerne,-0.0061883978753474594,0.0016915787354834988,0.007879976610830959
10_Left_Amygdala.nii,koenig_pest,0.0016647929165261688,-0.0003401218450541369,-0.0020049147615803036
10_Left_Amygdala.nii,lebendig_begraben,0.030361747785318,0.006523171374880051,-0.02383857641043795
10_Left_Amygdala.nii,ligeia,0.00137890443787907,0.003892472334976842,0.0025135678970977667
10_Left_Amygdala.nii,maupassant_hand,-0.0009879395187978035,0.0011760377292503424,0.0021639772480481455
10_Left_Amygdala.nii,mord_in_sunningdale,0.008524751853048324,0.004376845996431744,-0.00414790585661658
10_Superior_Temporal_Gyrus_posterior_division_left.nii,das_manuskript_in_der_flasche,0.09581197012523902,0.08617980009536363,-0.009632170029875375
10_Superior_Temporal_Gyrus_posterior_division_left.nii,der_blaue_karfunkel,0.05878009046765564,0.05814297937833416,-0.0006371110893215001
10_Superior_Temporal_Gyrus_posterior_division_left.nii,der_fall_stretelli,0.04281186703826743,0.032402624891097846,-0.010409242147169649
10_Superior_Temporal_Gyrus_posterior_division_left.nii,der_katechismus_der_familie_musgrave,0.04885888516615351,0.05934191984353457,0.010483034677381
10_Superior_Temporal_Gyrus_posterior_division_left.nii,die_maske_des_roten_todes,0.03229915784021992,0.048237030640321865,0.015937872800101973
10_Superior_Temporal_Gyrus_posterior_division_left.nii,die_pflanzen_des_dr,0.07746888433352543,0.07624267013268364,-0.001226214200841812
10_Superior_Temporal_Gyrus_posterior_division_left.nii,die_schwarze_katze,0.06810409129969595,0.08018372917366096,0.012079637873964964
10_Superior_Temporal_Gyrus_posterior_division_left.nii,fuenf_apfelsinenkerne,0.03892990401021158,0.053083917692951316,0.014154013682739735
10_Superior_Temporal_Gyrus_posterior_division_left.nii,koenig_pest,0.03507739755926417,0.048378347866314134,0.013300950307049992
10_Superior_Temporal_Gyrus_posterior_division_left.nii,lebendig_begraben,0.0514569959690549,0.04727623972375629,-0.004180756245298602
10_Superior_Temporal_Gyrus_posterior_division_left.nii,ligeia,0.02781629879108952,0.045325446426330976,0.017509147635241373
10_Superior_Temporal_Gyrus_posterior_division_left.nii,maupassant_hand,0.05381145439796139,0.0512201889587315,-0.0025912654392298787
10_Superior_Temporal_Gyrus_posterior_division_left.nii,mord_in_sunningdale,0.07255161752895767,0.08211225458892457,0.009560637059966898
10_Superior_Temporal_Gyrus_posterior_division_right.nii,das_manuskript_in_der_flasche,0.0993472349914458,0.08457200789895977,-0.01477522709248593
10_Superior_Temporal_Gyrus_posterior_division_right.nii,der_blaue_karfunkel,0.045876179575330495,0.046591471539931005,0.0007152919646005399
10_Superior_Temporal_Gyrus_posterior_division_right.nii,der_fall_stretelli,0.03993249917049861,0.036716524083521176,-0.003215975086977443
10_Superior_Temporal_Gyrus_posterior_division_right.nii,der_katechismus_der_familie_musgrave,0.04853243032736818,0.06294439565844169,0.014411965331073572
10_Superior_Temporal_Gyrus_posterior_division_right.nii,die_maske_des_roten_todes,0.052706960755742216,0.06607851333050307,0.013371552574760784
10_Superior_Temporal_Gyrus_posterior_division_right.nii,die_pflanzen_des_dr,0.06266526363742707,0.06327450781522982,0.0006092441778027088
10_Superior_Temporal_Gyrus_posterior_division_right.nii,die_schwarze_katze,0.03298052157832265,0.044604465276038556,0.0116239436977159
10_Superior_Temporal_Gyrus_posterior_division_right.nii,fuenf_apfelsinenkerne,0.04172149174958779,0.05216527133131266,0.010443779581724905
10_Superior_Temporal_Gyrus_posterior_division_right.nii,koenig_pest,0.05208768219238134,0.05253960615216269,0.00045192395978130436
10_Superior_Temporal_Gyrus_posterior_division_right.nii,lebendig_begraben,0.03698328421498007,0.02802869428491625,-0.008954589930063808
