roi,mean_delta_beta,ci_lo_delta_beta,ci_hi_delta_beta,cohens_d_delta,mean_beta_shift_unique,ci_lo_shift,ci_hi_shift,cohens_d_shift,p_simes_unique_shift,mean_beta_drift_unique,ci_lo_drift,ci_hi_drift,cohens_d_drift,p_simes_unique_drift,p_simes_delta_beta,n_vox
10_Left_Amygdala.nii,-0.00014799827791370476,-0.006104365741087436,0.007584720388319356,-0.011437399712411787,-0.00038690297828663714,-0.005084647444248955,0.002194890380415441,-0.05945934707156424,0.30879561457898025,-0.00023890470037293314,-0.00695146715344918,0.0027967819959992713,-0.028924166719288245,0.054837540499144834,0.430591415597112,106
10_Superior_Temporal_Gyrus_posterior_division_left.nii,0.054136816502099706,0.04475936639241537,0.06601901299862034,2.716901676780242,0.0590867038009235,0.05104407596759383,0.06873877231074504,3.5228440787763184,2.338393088942706e-08,0.004949887298823779,-0.0004317033876018034,0.009859161016523456,0.4962784991632362,0.22134491912100593,4.257467336748151e-07,392
10_Superior_Temporal_Gyrus_posterior_division_right.nii,0.04826664600877484,0.04109563297996844,0.06204794843082032,2.626307153981909,0.051684630215197876,0.04448175113018102,0.06051285339033961,3.3831124551750524,1.2771086179201204e-07,0.0034179842064230494,-0.002325055716546567,0.008419400607517764,0.32998156695975484,0.12566895084441657,6.473296029955909e-07,478
11_Left_Accumbens.nii,0.0003360651036397226,-0.00796731646520766,0.004908806967500067,0.02898974867921735,-2.547514673040103e-05,-0.005893647945003496,0.004447762650476816,-0.0025924268224371766,0.31887473535643424,-0.0003615402503701232,-0.004172195206834757,0.003059393870942783,-0.05207689304950475,0.36988697657896485,0.1616034271543672,10
11_Middle_Temporal_Gyrus_anterior_division_left.nii,0.03590181450944899,0.029804203411893947,0.04401260874552201,2.7025259842153235,0.03181694802090654,0.026797363911271178,0.03839400575642865,2.9098341028683845,6.13032589841638e-07,-0.004084866488542461,-0.009499719201480737,-0.0008836845923111794,-0.5227903578713196,0.014560519661285472,3.239402451106354e-06,165
11_Middle_Temporal_Gyrus_anterior_division_right.nii,0.017774865762702794,0.01227746715861787,0.02291008519492886,1.72527641981978,0.01932248891659612,0.014888420772077119,0.02392853342863746,2.223076185990906,6.23171115762372e-06,0.0015476231538933264,-0.005187158192878005,0.00480582423070951,0.18099866730487602,0.09603029982830476,2.3841681279031384e-06,114
12_Middle_Temporal_Gyrus_posterior_division_left.nii,0.01666305395621019,0.01168552393510569,0.02040353512126875,2.0177637758957743,0.018121957855967243,0.015104006578216688,0.021213539479336272,3.0945325953009064,6.072978391438049e-07,0.0014589038997570533,-0.0022968126916281958,0.004698332764946761,0.21784094205646157,0.0812586135292042,5.324640329758206e-05,365
12_Middle_Temporal_Gyrus_posterior_division_right.nii,0.022275229349963566,0.01766604864520851,0.028181578202096356,2.233644786924915,0.02594831160813383,0.02066472552780469,0.0316214178886786,2.473758993775349,2.0837336882844436e-08,0.003673082258170269,-0.006121933402236156,0.008232463034951256,0.2998953219153267,0.17299411280880822,2.205907414993702e-06,351
13_Middle_Temporal_Gyrus_temporooccipital_part_left.nii,0.011730141112307416,0.0024969537027541757,0.01944510833376353,0.7267803298479254,0.010678164818464805,0.005471190214230919,0.014893058916654291,1.188378266575209,1.1043520692385314e-05,-0.0010519762938426091,-0.0074442415552895495,0.004131651610581689,-0.09512246968535887,0.0009018287155501639,0.010626327383678977,341
13_Middle_Temporal_Gyrus_temporooccipital_part_right.nii,0.00231702510193568,-0.003853245594666883,0.011618227296937279,0.1620225066828073,0.0015922604036858329,-0.002567258055547315,0.004037807362100475,0.26666496655254485,7.435366616258404e-07,-0.0007247646982498437,-0.009530180335637082,0.004186354895131748,-0.058716489916553885,0.002460065057197396,0.0002758855348598217,424
14_Inferior_Temporal_Gyrus_anterior_division_left.nii,0.005912283336943642,0.0037512016071717586,0.007726230070958818,1.5447462393126472,0.0019424756866297695,-0.0006285912647667642,0.003862101038256151,0.46045826780678006,0.19093719884256605,-0.003969807650313869,-0.005169777497560249,-0.002460876058643854,-1.5306230891653858,0.08714667260442045,0.1985823698644274,89
14_Inferior_Temporal_Gyrus_anterior_division_right.nii,-0.00038099765831902445,-0.006294318961231717,0.003348737159679195,-0.04287318472239512,-0.00013916829774338377,-0.0031492800959332635,0.0027655219524364656,-0.024305611033465974,0.026079914819713945,0.0002418293605756403,-0.0029962634988457025,0.0039649973215907415,0.036118260227702655,0.016688995813214605,0.03312279702429147,92
14_Right_Lateral_Ventricle.nii,-0.0004005134771269631,-0.008542338124847513,0.006842755719510411,-0.027138373533320877,-0.0003471868349265184,-0.0053811306004747815,0.005109386825170235,-0.034610244668049336,0.138753935005413,5.332664220044711e-05,-0.0034076535066065597,0.0037063858596310616,0.007785329534491144,0.003135170492885215,0.05620393579176563,272
15_Inferior_Temporal_Gyrus_posterior_division_left.nii,0.004604201001218769,0.002772188826561243,0.007096784779894577,1.1199714405266539,0.004287717564849617,0.002622222350515644,0.005603923784660115,1.5104341064067899,0.012432676769037292,-0.0003164834363691535,-0.0018463968615100071,0.0014674061435889574,-0.09929785119174125,1.8337977869964453e-05,0.059269721575022895,327
15_Inferior_Temporal_Gyrus_posterior_division_right.nii,0.0028987431764641897,0.0006980814401059141,0.006371807775993477,0.5578907987638884,0.003704779187200094,0.002057142171381404,0.005423184647452633,1.1487882132979839,0.0043041547023109,0.0008060360107359073,-0.0010607018478627937,0.002311214467219957,0.2500647363603554,0.044070382704764745,0.004422509541913603,325
