roi,n_vox,n_shift,n_drift,prop_shift,prop_drift
10_Left_Amygdala.nii,106,0,0,0.0,0.0
10_Superior_Temporal_Gyrus_posterior_division_left.nii,392,224,0,0.5714285714285714,0.0
10_Superior_Temporal_Gyrus_posterior_division_right.nii,478,275,3,0.5753138075313807,0.006276150627615063
11_Middle_Temporal_Gyrus_anterior_division_left.nii,165,50,2,0.30303030303030304,0.012121212121212121
11_Middle_Temporal_Gyrus_anterior_division_right.nii,114,26,1,0.22807017543859648,0.008771929824561403
12_Middle_Temporal_Gyrus_posterior_division_left.nii,365,75,3,0.2054794520547945,0.00821917808219178
12_Middle_Temporal_Gyrus_posterior_division_right.nii,351,114,2,0.3247863247863248,0.005698005698005698
13_Middle_Temporal_Gyrus_temporooccipital_part_left.nii,341,27,11,0.07917888563049853,0.03225806451612903
13_Middle_Temporal_Gyrus_temporooccipital_part_right.nii,424,22,4,0.05188679245283019,0.009433962264150943
14_Inferior_Temporal_Gyrus_anterior_division_left.nii,89,1,1,0.011235955056179775,0.011235955056179775
14_Inferior_Temporal_Gyrus_anterior_division_right.nii,92,2,1,0.021739130434782608,0.010869565217391304
14_Right_Lateral_Ventricle.nii,272,3,6,0.011029411764705883,0.022058823529411766
15_Inferior_Temporal_Gyrus_posterior_division_left.nii,327,7,5,0.021406727828746176,0.01529051987767584
15_Inferior_Temporal_Gyrus_posterior_division_right.nii,325,18,2,0.055384615384615386,0.006153846153846154
15_Right_Thalamus.nii,80,0,2,0.0,0.025
16_Inferior_Temporal_Gyrus_temporooccipital_part_left.nii,363,8,5,0.02203856749311295,0.013774104683195593
16_Inferior_Temporal_Gyrus_temporooccipital_part_right.nii,342,6,6,0.017543859649122806,0.017543859649122806
16_Right_Caudate.nii,45,1,0,0.022222222222222223,0.0
17_Postcentral_Gyrus_left.nii,1362,35,12,0.02569750367107195,0.00881057268722467
17_Postcentral_Gyrus_right.nii,1274,21,13,0.016483516483516484,0.01020408163265306
18_Superior_Parietal_Lobule_left.nii,726,4,9,0.005509641873278237,0.012396694214876033
18_Superior_Parietal_Lobule_right.nii,452,14,4,0.030973451327433628,0.008849557522123894
19_Right_Hippocampus.nii,262,6,3,0.022900763358778626,0.011450381679389313
19_Supramarginal_Gyrus_anterior_division_left.nii,401,4,11,0.00997506234413965,0.02743142144638404
19_Supramarginal_Gyrus_anterior_division_right.nii,360,4,1,0.011111111111111112,0.002777777777777778
1_Frontal_Pole_left.nii,3052,21,46,0.006880733944954129,0.01507208387942333
1_Frontal_Pole_right.nii,3841,70,49,0.01822442072376985,0.012757094506638896
20_Right_Amygdala.nii,149,8,2,0.053691275167785234,0.013422818791946308
20_Supramarginal_Gyrus_posterior_division_left.nii,433,88,7,0.20323325635103925,0.016166281755196306
20_Supramarginal_Gyrus_posterior_division_right.nii,725,172,17,0.23724137931034484,0.023448275862068966
21_Angular_Gyrus_left.nii,396,5,18,0.012626262626262626,0.045454545454545456
21_Angular_Gyrus_right.nii,577,14,6,0.024263431542461005,0.010398613518197574
22_Lateral_Occipital_Cortex_superior_division_left.nii,1929,16,46,0.00829445308449974,0.023846552617936754
22_Lateral_Occipital_Cortex_superior_division_right.nii,1841,34,83,0.018468223791417708,0.045084193373166756
23_Lateral_Occipital_Cortex_inferior_division_left.nii,858,34,6,0.039627039627039624,0.006993006993006993
23_Lateral_Occipital_Cortex_inferior_division_right.nii,779,7,7,0.008985879332477536,0.008985879332477536
24_Intracalcarine_Cortex_left.nii,190,0,2,0.0,0.010526315789473684
24_Intracalcarine_Cortex_right.nii,188,1,1,0.005319148936170213,0.005319148936170213
25_Frontal_Medial_Cortex_left.nii,117,2,1,0.017094017094017096,0.008547008547008548
25_Frontal_Medial_Cortex_right.nii,182,2,2,0.01098901098901099,0.01098901098901099
26_Juxtapositional_Lobule_Cortex_formerly_Supplementary_Motor_Cortex_left.nii,310,30,2,0.0967741935483871,0.0064516129032258064
26_Juxtapositional_Lobule_Cortex_formerly_Supplementary_Motor_Cortex_right.nii,238,12,2,0.05042016806722689,0.008403361344537815
27_Subcallosal_Cortex_left.nii,290,7,2,0.02413793103448276,0.006896551724137931
27_Subcallosal_Cortex_right.nii,314,4,6,0.012738853503184714,0.01910828025477707
28_Paracingulate_Gyrus_left.nii,627,10,8,0.01594896331738437,0.012759170653907496
28_Paracingulate_Gyrus_right.nii,745,10,19,0.013422818791946308,0.025503355704697986
29_Cingulate_Gyrus_anterior_division_left.nii,452,1,4,0.0022123893805309734,0.008849557522123894
29_Cingulate_Gyrus_anterior_division_right.nii,518,7,4,0.013513513513513514,0.007722007722007722
2_Insular_Cortex_left.nii,579,14,8,0.024179620034542316,0.013816925734024179
2_Insular_Cortex_right.nii,507,22,10,0.04339250493096647,0.01972386587771203
30_Cingulate_Gyrus_posterior_division_left.nii,537,17,16,0.03165735567970205,0.0297951582867784
30_Cingulate_Gyrus_posterior_division_right.nii,499,28,13,0.056112224448897796,0.026052104208416832
31_Precuneous_Cortex_left.nii,1174,21,57,0.01788756388415673,0.048551959114139696
31_Precuneous_Cortex_right.nii,989,12,15,0.012133468149646108,0.015166835187057633
32_Cuneal_Cortex_left.nii,182,5,3,0.027472527472527472,0.016483516483516484
32_Cuneal_Cortex_right.nii,147,2,2,0.013605442176870748,0.013605442176870748
33_Frontal_Orbital_Cortex_left.nii,826,14,8,0.01694915254237288,0.009685230024213076
33_Frontal_Orbital_Cortex_right.nii,717,19,11,0.026499302649930265,0.015341701534170154
34_Parahippocampal_Gyrus_anterior_division_left.nii,578,7,8,0.012110726643598616,0.01384083044982699
34_Parahippocampal_Gyrus_anterior_division_right.nii,621,16,8,0.02576489533011272,0.01288244766505636
35_Parahippocampal_Gyrus_posterior_division_left.nii,328,5,2,0.01524390243902439,0.006097560975609756
35_Parahippocampal_Gyrus_posterior_division_right.nii,287,10,4,0.03484320557491289,0.013937282229965157
36_Lingual_Gyrus_left.nii,856,15,14,0.017523364485981307,0.016355140186915886
36_Lingual_Gyrus_right.nii,827,14,15,0.016928657799274487,0.018137847642079808
37_Temporal_Fusiform_Cortex_anterior_division_left.nii,178,4,0,0.02247191011235955,0.0
37_Temporal_Fusiform_Cortex_anterior_division_right.nii,157,2,3,0.012738853503184714,0.01910828025477707
38_Temporal_Fusiform_Cortex_posterior_division_left.nii,455,6,5,0.013186813186813187,0.01098901098901099
38_Temporal_Fusiform_Cortex_posterior_division_right.nii,332,3,1,0.009036144578313253,0.0030120481927710845
39_Temporal_Occipital_Fusiform_Cortex_left.nii,430,9,8,0.020930232558139535,0.018604651162790697
39_Temporal_Occipital_Fusiform_Cortex_right.nii,518,6,5,0.011583011583011582,0.009652509652509652
3_Superior_Frontal_Gyrus_left.nii,1476,26,29,0.017615176151761516,0.01964769647696477
3_Superior_Frontal_Gyrus_right.nii,1213,27,16,0.02225886232481451,0.013190436933223413
40_Occipital_Fusiform_Gyrus_left.nii,597,9,1,0.01507537688442211,0.0016750418760469012
40_Occipital_Fusiform_Gyrus_right.nii,674,5,19,0.00741839762611276,0.028189910979228485
41_Frontal_Operculum_Cortex_left.nii,213,6,2,0.028169014084507043,0.009389671361502348
41_Frontal_Operculum_Cortex_right.nii,154,3,1,0.01948051948051948,0.006493506493506494
42_Central_Opercular_Cortex_left.nii,401,121,2,0.30174563591022446,0.004987531172069825
42_Central_Opercular_Cortex_right.nii,373,71,5,0.1903485254691689,0.013404825737265416
43_Parietal_Operculum_Cortex_left.nii,190,96,0,0.5052631578947369,0.0
43_Parietal_Operculum_Cortex_right.nii,156,24,3,0.15384615384615385,0.019230769230769232
44_Planum_Polare_left.nii,147,60,0,0.40816326530612246,0.0
44_Planum_Polare_right.nii,145,55,0,0.3793103448275862,0.0
45_Heschl's_Gyrus_includes_H1_and_H2_left.nii,81,64,0,0.7901234567901234,0.0
45_Heschl's_Gyrus_includes_H1_and_H2_right.nii,70,53,1,0.7571428571428571,0.014285714285714285
46_Planum_Temporale_left.nii,97,67,1,0.6907216494845361,0.010309278350515464
46_Planum_Temporale_right.nii,82,32,2,0.3902439024390244,0.024390243902439025
47_Supracalcarine_Cortex_left.nii,50,0,1,0.0,0.02
47_Supracalcarine_Cortex_right.nii,23,0,0,0.0,0.0
48_Occipital_Pole_left.nii,835,0,10,0.0,0.011976047904191617
48_Occipital_Pole_right.nii,748,2,9,0.00267379679144385,0.012032085561497326
4_Left_Thalamus.nii,123,0,0,0.0,0.0
4_Middle_Frontal_Gyrus_left.nii,1180,108,16,0.09152542372881356,0.013559322033898305
4_Middle_Frontal_Gyrus_right.nii,1334,105,23,0.07871064467766117,0.017241379310344827
5_Inferior_Frontal_Gyrus_pars_triangularis_left.nii,365,17,13,0.04657534246575343,0.03561643835616438
5_Inferior_Frontal_Gyrus_pars_triangularis_right.nii,314,62,4,0.19745222929936307,0.012738853503184714
5_Left_Caudate.nii,49,0,2,0.0,0.04081632653061224
6_Inferior_Frontal_Gyrus_pars_opercularis_left.nii,331,19,3,0.05740181268882175,0.00906344410876133
6_Inferior_Frontal_Gyrus_pars_opercularis_right.nii,297,7,10,0.02356902356902357,0.03367003367003367
7_Precentral_Gyrus_left.nii,1674,122,17,0.07287933094384708,0.01015531660692951
7_Precentral_Gyrus_right.nii,1481,67,17,0.04523970290344362,0.011478730587440918
8_Temporal_Pole_left.nii,1249,108,8,0.08646917534027222,0.006405124099279423
8_Temporal_Pole_right.nii,1264,114,14,0.09018987341772151,0.011075949367088608
9_Left_Hippocampus.nii,258,5,4,0.01937984496124031,0.015503875968992248
9_Superior_Temporal_Gyrus_anterior_division_left.nii,128,91,4,0.7109375,0.03125
9_Superior_Temporal_Gyrus_anterior_division_right.nii,132,80,0,0.6060606060606061,0.0
