roi,n_vox,n_shift,n_drift,prop_shift,prop_drift
45_Heschl's_Gyrus_includes_H1_and_H2_left.nii,81,64,0,0.7901234567901234,0.0
45_Heschl's_Gyrus_includes_H1_and_H2_right.nii,70,53,1,0.7571428571428571,0.014285714285714285
9_Superior_Temporal_Gyrus_anterior_division_left.nii,128,91,4,0.7109375,0.03125
46_Planum_Temporale_left.nii,97,67,1,0.6907216494845361,0.010309278350515464
9_Superior_Temporal_Gyrus_anterior_division_right.nii,132,80,0,0.6060606060606061,0.0
10_Superior_Temporal_Gyrus_posterior_division_right.nii,478,275,3,0.5753138075313807,0.006276150627615063
10_Superior_Temporal_Gyrus_posterior_division_left.nii,392,224,0,0.5714285714285714,0.0
43_Parietal_Operculum_Cortex_left.nii,190,96,0,0.5052631578947369,0.0
44_Planum_Polare_left.nii,147,60,0,0.40816326530612246,0.0
46_Planum_Temporale_right.nii,82,32,2,0.3902439024390244,0.024390243902439025
44_Planum_Polare_right.nii,145,55,0,0.3793103448275862,0.0
12_Middle_Temporal_Gyrus_posterior_division_right.nii,351,114,2,0.3247863247863248,0.005698005698005698
11_Middle_Temporal_Gyrus_anterior_division_left.nii,165,50,2,0.30303030303030304,0.012121212121212121
42_Central_Opercular_Cortex_left.nii,401,121,2,0.30174563591022446,0.004987531172069825
20_Supramarginal_Gyrus_posterior_division_right.nii,725,172,17,0.23724137931034484,0.023448275862068966
11_Middle_Temporal_Gyrus_anterior_division_right.nii,114,26,1,0.22807017543859648,0.008771929824561403
12_Middle_Temporal_Gyrus_posterior_division_left.nii,365,75,3,0.2054794520547945,0.00821917808219178
20_Supramarginal_Gyrus_posterior_division_left.nii,433,88,7,0.20323325635103925,0.016166281755196306
5_Inferior_Frontal_Gyrus_pars_triangularis_right.nii,314,62,4,0.19745222929936307,0.012738853503184714
42_Central_Opercular_Cortex_right.nii,373,71,5,0.1903485254691689,0.013404825737265416
43_Parietal_Operculum_Cortex_right.nii,156,24,3,0.15384615384615385,0.019230769230769232
26_Juxtapositional_Lobule_Cortex_formerly_Supplementary_Motor_Cortex_left.nii,310,30,2,0.0967741935483871,0.0064516129032258064
4_Middle_Frontal_Gyrus_left.nii,1180,108,16,0.09152542372881356,0.013559322033898305
8_Temporal_Pole_right.nii,1264,114,14,0.09018987341772151,0.011075949367088608
8_Temporal_Pole_left.nii,1249,108,8,0.08646917534027222,0.006405124099279423
