roi,n_vox,n_shift,n_drift,prop_shift,prop_drift
10_Left_Amygdala.nii,106,62,46,0.5849056603773585,0.4339622641509434
10_Superior_Temporal_Gyrus_posterior_division_left.nii,392,92,135,0.23469387755102042,0.34438775510204084
10_Superior_Temporal_Gyrus_posterior_division_right.nii,478,83,147,0.17364016736401675,0.3075313807531381
11_Middle_Temporal_Gyrus_anterior_division_left.nii,165,48,64,0.2909090909090909,0.3878787878787879
11_Middle_Temporal_Gyrus_anterior_division_right.nii,114,23,42,0.20175438596491227,0.3684210526315789
12_Middle_Temporal_Gyrus_posterior_division_left.nii,365,115,129,0.3150684931506849,0.35342465753424657
12_Middle_Temporal_Gyrus_posterior_division_right.nii,351,87,96,0.24786324786324787,0.27350427350427353
13_Middle_Temporal_Gyrus_temporooccipital_part_left.nii,341,125,140,0.36656891495601174,0.41055718475073316
13_Middle_Temporal_Gyrus_temporooccipital_part_right.nii,424,163,180,0.38443396226415094,0.42452830188679247
14_Inferior_Temporal_Gyrus_anterior_division_left.nii,89,43,29,0.48314606741573035,0.3258426966292135
14_Inferior_Temporal_Gyrus_anterior_division_right.nii,92,34,32,0.3695652173913043,0.34782608695652173
14_Right_Lateral_Ventricle.nii,272,138,108,0.5073529411764706,0.39705882352941174
15_Inferior_Temporal_Gyrus_posterior_division_left.nii,327,110,144,0.3363914373088685,0.44036697247706424
15_Inferior_Temporal_Gyrus_posterior_division_right.nii,325,125,155,0.38461538461538464,0.47692307692307695
15_Right_Thalamus.nii,80,32,36,0.4,0.45
16_Inferior_Temporal_Gyrus_temporooccipital_part_left.nii,363,154,151,0.42424242424242425,0.41597796143250687
16_Inferior_Temporal_Gyrus_temporooccipital_part_right.nii,342,169,183,0.49415204678362573,0.5350877192982456
16_Right_Caudate.nii,45,19,15,0.4222222222222222,0.3333333333333333
17_Postcentral_Gyrus_left.nii,1362,575,621,0.4221732745961821,0.45594713656387664
17_Postcentral_Gyrus_right.nii,1274,547,541,0.4293563579277865,0.42464678178963894
18_Superior_Parietal_Lobule_left.nii,726,366,292,0.5041322314049587,0.4022038567493113
18_Superior_Parietal_Lobule_right.nii,452,137,180,0.3030973451327434,0.39823008849557523
19_Right_Hippocampus.nii,262,118,127,0.45038167938931295,0.4847328244274809
19_Supramarginal_Gyrus_anterior_division_left.nii,401,178,209,0.44389027431421446,0.5211970074812967
19_Supramarginal_Gyrus_anterior_division_right.nii,360,149,130,0.41388888888888886,0.3611111111111111
1_Frontal_Pole_left.nii,3052,1392,1326,0.45609436435124506,0.43446920052424637
1_Frontal_Pole_right.nii,3841,1632,1545,0.42488935173132,0.40223900026034887
20_Right_Amygdala.nii,149,53,56,0.35570469798657717,0.37583892617449666
20_Supramarginal_Gyrus_posterior_division_left.nii,433,184,178,0.42494226327944573,0.4110854503464203
20_Supramarginal_Gyrus_posterior_division_right.nii,725,255,287,0.35172413793103446,0.39586206896551723
21_Angular_Gyrus_left.nii,396,205,115,0.5176767676767676,0.2904040404040404
21_Angular_Gyrus_right.nii,577,227,165,0.3934142114384749,0.28596187175043325
22_Lateral_Occipital_Cortex_superior_division_left.nii,1929,930,800,0.4821150855365474,0.41472265422498705
22_Lateral_Occipital_Cortex_superior_division_right.nii,1841,823,649,0.44703965236284626,0.3525258011950027
23_Lateral_Occipital_Cortex_inferior_division_left.nii,858,341,417,0.3974358974358974,0.486013986013986
23_Lateral_Occipital_Cortex_inferior_division_right.nii,779,388,400,0.4980744544287548,0.5134788189987163
24_Intracalcarine_Cortex_left.nii,190,113,50,0.5947368421052631,0.2631578947368421
24_Intracalcarine_Cortex_right.nii,188,134,70,0.7127659574468085,0.3723404255319149
25_Frontal_Medial_Cortex_left.nii,117,55,56,0.4700854700854701,0.47863247863247865
25_Frontal_Medial_Cortex_right.nii,182,77,74,0.4230769230769231,0.4065934065934066
26_Juxtapositional_Lobule_Cortex_formerly_Supplementary_Motor_Cortex_left.nii,310,113,146,0.36451612903225805,0.47096774193548385
26_Juxtapositional_Lobule_Cortex_formerly_Supplementary_Motor_Cortex_right.nii,238,100,103,0.42016806722689076,0.4327731092436975
27_Subcallosal_Cortex_left.nii,290,121,112,0.41724137931034483,0.38620689655172413
27_Subcallosal_Cortex_right.nii,314,110,134,0.3503184713375796,0.4267515923566879
28_Paracingulate_Gyrus_left.nii,627,275,291,0.43859649122807015,0.46411483253588515
28_Paracingulate_Gyrus_right.nii,745,324,272,0.4348993288590604,0.3651006711409396
29_Cingulate_Gyrus_anterior_division_left.nii,452,192,195,0.4247787610619469,0.4314159292035398
29_Cingulate_Gyrus_anterior_division_right.nii,518,252,223,0.4864864864864865,0.4305019305019305
2_Insular_Cortex_left.nii,579,225,229,0.38860103626943004,0.3955094991364421
2_Insular_Cortex_right.nii,507,206,216,0.40631163708086787,0.4260355029585799
30_Cingulate_Gyrus_posterior_division_left.nii,537,182,245,0.33891992551210426,0.45623836126629425
30_Cingulate_Gyrus_posterior_division_right.nii,499,199,232,0.39879759519038077,0.4649298597194389
31_Precuneous_Cortex_left.nii,1174,506,559,0.43100511073253833,0.47614991482112434
31_Precuneous_Cortex_right.nii,989,419,405,0.4236602628918099,0.40950455005055614
32_Cuneal_Cortex_left.nii,182,55,80,0.3021978021978022,0.43956043956043955
32_Cuneal_Cortex_right.nii,147,53,65,0.36054421768707484,0.4421768707482993
33_Frontal_Orbital_Cortex_left.nii,826,345,314,0.41767554479418884,0.3801452784503632
33_Frontal_Orbital_Cortex_right.nii,717,294,325,0.4100418410041841,0.45327754532775455
34_Parahippocampal_Gyrus_anterior_division_left.nii,578,260,242,0.44982698961937717,0.4186851211072664
34_Parahippocampal_Gyrus_anterior_division_right.nii,621,279,277,0.4492753623188406,0.44605475040257647
35_Parahippocampal_Gyrus_posterior_division_left.nii,328,156,138,0.47560975609756095,0.42073170731707316
35_Parahippocampal_Gyrus_posterior_division_right.nii,287,110,107,0.3832752613240418,0.37282229965156793
36_Lingual_Gyrus_left.nii,856,371,375,0.433411214953271,0.4380841121495327
36_Lingual_Gyrus_right.nii,827,427,407,0.5163240628778718,0.4921402660217654
37_Temporal_Fusiform_Cortex_anterior_division_left.nii,178,83,83,0.46629213483146065,0.46629213483146065
37_Temporal_Fusiform_Cortex_anterior_division_right.nii,157,72,71,0.4585987261146497,0.45222929936305734
38_Temporal_Fusiform_Cortex_posterior_division_left.nii,455,201,200,0.44175824175824174,0.43956043956043955
38_Temporal_Fusiform_Cortex_posterior_division_right.nii,332,144,147,0.43373493975903615,0.4427710843373494
39_Temporal_Occipital_Fusiform_Cortex_left.nii,430,193,194,0.44883720930232557,0.4511627906976744
39_Temporal_Occipital_Fusiform_Cortex_right.nii,518,247,237,0.4768339768339768,0.4575289575289575
3_Superior_Frontal_Gyrus_left.nii,1476,624,739,0.42276422764227645,0.5006775067750677
3_Superior_Frontal_Gyrus_right.nii,1213,495,443,0.40807914262159933,0.36521022258862323
40_Occipital_Fusiform_Gyrus_left.nii,597,288,291,0.4824120603015075,0.48743718592964824
40_Occipital_Fusiform_Gyrus_right.nii,674,400,358,0.5934718100890207,0.5311572700296736
41_Frontal_Operculum_Cortex_left.nii,213,61,78,0.2863849765258216,0.36619718309859156
41_Frontal_Operculum_Cortex_right.nii,154,57,74,0.37012987012987014,0.4805194805194805
42_Central_Opercular_Cortex_left.nii,401,109,157,0.2718204488778055,0.3915211970074813
42_Central_Opercular_Cortex_right.nii,373,126,179,0.3378016085790885,0.47989276139410186
43_Parietal_Operculum_Cortex_left.nii,190,34,71,0.17894736842105263,0.3736842105263158
43_Parietal_Operculum_Cortex_right.nii,156,48,52,0.3076923076923077,0.3333333333333333
44_Planum_Polare_left.nii,147,50,65,0.3401360544217687,0.4421768707482993
44_Planum_Polare_right.nii,145,55,56,0.3793103448275862,0.38620689655172413
45_Heschl's_Gyrus_includes_H1_and_H2_left.nii,81,28,38,0.345679012345679,0.4691358024691358
45_Heschl's_Gyrus_includes_H1_and_H2_right.nii,70,13,38,0.18571428571428572,0.5428571428571428
46_Planum_Temporale_left.nii,97,38,29,0.3917525773195876,0.29896907216494845
46_Planum_Temporale_right.nii,82,19,28,0.23170731707317074,0.34146341463414637
47_Supracalcarine_Cortex_left.nii,50,31,14,0.62,0.28
47_Supracalcarine_Cortex_right.nii,23,14,6,0.6086956521739131,0.2608695652173913
48_Occipital_Pole_left.nii,835,485,383,0.5808383233532934,0.45868263473053894
48_Occipital_Pole_right.nii,748,392,377,0.5240641711229946,0.5040106951871658
4_Left_Thalamus.nii,123,64,44,0.5203252032520326,0.35772357723577236
4_Middle_Frontal_Gyrus_left.nii,1180,453,569,0.38389830508474576,0.4822033898305085
4_Middle_Frontal_Gyrus_right.nii,1334,442,517,0.3313343328335832,0.3875562218890555
5_Inferior_Frontal_Gyrus_pars_triangularis_left.nii,365,125,126,0.3424657534246575,0.3452054794520548
5_Inferior_Frontal_Gyrus_pars_triangularis_right.nii,314,64,92,0.20382165605095542,0.2929936305732484
5_Left_Caudate.nii,49,21,20,0.42857142857142855,0.40816326530612246
6_Inferior_Frontal_Gyrus_pars_opercularis_left.nii,331,106,151,0.3202416918429003,0.4561933534743202
6_Inferior_Frontal_Gyrus_pars_opercularis_right.nii,297,127,141,0.4276094276094276,0.47474747474747475
7_Precentral_Gyrus_left.nii,1674,671,791,0.4008363201911589,0.472520908004779
7_Precentral_Gyrus_right.nii,1481,574,692,0.387575962187711,0.46725185685347737
8_Temporal_Pole_left.nii,1249,460,487,0.36829463570856685,0.3899119295436349
8_Temporal_Pole_right.nii,1264,502,453,0.3971518987341772,0.3583860759493671
9_Left_Hippocampus.nii,258,101,113,0.39147286821705424,0.437984496124031
9_Superior_Temporal_Gyrus_anterior_division_left.nii,128,59,37,0.4609375,0.2890625
9_Superior_Temporal_Gyrus_anterior_division_right.nii,132,58,54,0.4393939393939394,0.4090909090909091
