roi,n_vox,n_shift,n_drift,prop_shift,prop_drift
45_Heschl's_Gyrus_includes_H1_and_H2_right.nii,70,13,38,0.18571428571428572,0.5428571428571428
16_Inferior_Temporal_Gyrus_temporooccipital_part_right.nii,342,169,183,0.49415204678362573,0.5350877192982456
40_Occipital_Fusiform_Gyrus_right.nii,674,400,358,0.5934718100890207,0.5311572700296736
19_Supramarginal_Gyrus_anterior_division_left.nii,401,178,209,0.44389027431421446,0.5211970074812967
23_Lateral_Occipital_Cortex_inferior_division_right.nii,779,388,400,0.4980744544287548,0.5134788189987163
48_Occipital_Pole_right.nii,748,392,377,0.5240641711229946,0.5040106951871658
3_Superior_Frontal_Gyrus_left.nii,1476,624,739,0.42276422764227645,0.5006775067750677
36_Lingual_Gyrus_right.nii,827,427,407,0.5163240628778718,0.4921402660217654
40_Occipital_Fusiform_Gyrus_left.nii,597,288,291,0.4824120603015075,0.48743718592964824
23_Lateral_Occipital_Cortex_inferior_division_left.nii,858,341,417,0.3974358974358974,0.486013986013986
19_Right_Hippocampus.nii,262,118,127,0.45038167938931295,0.4847328244274809
4_Middle_Frontal_Gyrus_left.nii,1180,453,569,0.38389830508474576,0.4822033898305085
41_Frontal_Operculum_Cortex_right.nii,154,57,74,0.37012987012987014,0.4805194805194805
42_Central_Opercular_Cortex_right.nii,373,126,179,0.3378016085790885,0.47989276139410186
25_Frontal_Medial_Cortex_left.nii,117,55,56,0.4700854700854701,0.47863247863247865
15_Inferior_Temporal_Gyrus_posterior_division_right.nii,325,125,155,0.38461538461538464,0.47692307692307695
31_Precuneous_Cortex_left.nii,1174,506,559,0.43100511073253833,0.47614991482112434
6_Inferior_Frontal_Gyrus_pars_opercularis_right.nii,297,127,141,0.4276094276094276,0.47474747474747475
7_Precentral_Gyrus_left.nii,1674,671,791,0.4008363201911589,0.472520908004779
26_Juxtapositional_Lobule_Cortex_formerly_Supplementary_Motor_Cortex_left.nii,310,113,146,0.36451612903225805,0.47096774193548385
45_Heschl's_Gyrus_includes_H1_and_H2_left.nii,81,28,38,0.345679012345679,0.4691358024691358
7_Precentral_Gyrus_right.nii,1481,574,692,0.387575962187711,0.46725185685347737
37_Temporal_Fusiform_Cortex_anterior_division_left.nii,178,83,83,0.46629213483146065,0.46629213483146065
30_Cingulate_Gyrus_posterior_division_right.nii,499,199,232,0.39879759519038077,0.4649298597194389
28_Paracingulate_Gyrus_left.nii,627,275,291,0.43859649122807015,0.46411483253588515
