roi,n_vox,n_shift,n_drift,prop_shift,prop_drift
24_Intracalcarine_Cortex_right.nii,188,134,70,0.7127659574468085,0.3723404255319149
47_Supracalcarine_Cortex_left.nii,50,31,14,0.62,0.28
47_Supracalcarine_Cortex_right.nii,23,14,6,0.6086956521739131,0.2608695652173913
24_Intracalcarine_Cortex_left.nii,190,113,50,0.5947368421052631,0.2631578947368421
40_Occipital_Fusiform_Gyrus_right.nii,674,400,358,0.5934718100890207,0.5311572700296736
10_Left_Amygdala.nii,106,62,46,0.5849056603773585,0.4339622641509434
48_Occipital_Pole_left.nii,835,485,383,0.5808383233532934,0.45868263473053894
48_Occipital_Pole_right.nii,748,392,377,0.5240641711229946,0.5040106951871658
4_Left_Thalamus.nii,123,64,44,0.5203252032520326,0.35772357723577236
21_Angular_Gyrus_left.nii,396,205,115,0.5176767676767676,0.2904040404040404
36_Lingual_Gyrus_right.nii,827,427,407,0.5163240628778718,0.4921402660217654
14_Right_Lateral_Ventricle.nii,272,138,108,0.5073529411764706,0.39705882352941174
18_Superior_Parietal_Lobule_left.nii,726,366,292,0.5041322314049587,0.4022038567493113
23_Lateral_Occipital_Cortex_inferior_division_right.nii,779,388,400,0.4980744544287548,0.5134788189987163
16_Inferior_Temporal_Gyrus_temporooccipital_part_right.nii,342,169,183,0.49415204678362573,0.5350877192982456
29_Cingulate_Gyrus_anterior_division_right.nii,518,252,223,0.4864864864864865,0.4305019305019305
14_Inferior_Temporal_Gyrus_anterior_division_left.nii,89,43,29,0.48314606741573035,0.3258426966292135
40_Occipital_Fusiform_Gyrus_left.nii,597,288,291,0.4824120603015075,0.48743718592964824
22_Lateral_Occipital_Cortex_superior_division_left.nii,1929,930,800,0.4821150855365474,0.41472265422498705
39_Temporal_Occipital_Fusiform_Cortex_right.nii,518,247,237,0.4768339768339768,0.4575289575289575
35_Parahippocampal_Gyrus_posterior_division_left.nii,328,156,138,0.47560975609756095,0.42073170731707316
25_Frontal_Medial_Cortex_left.nii,117,55,56,0.4700854700854701,0.47863247863247865
37_Temporal_Fusiform_Cortex_anterior_division_left.nii,178,83,83,0.46629213483146065,0.46629213483146065
9_Superior_Temporal_Gyrus_anterior_division_left.nii,128,59,37,0.4609375,0.2890625
37_Temporal_Fusiform_Cortex_anterior_division_right.nii,157,72,71,0.4585987261146497,0.45222929936305734
