roi,n_vox,n_shift,n_drift,prop_shift,prop_drift
10_Left_Amygdala.nii,106,0,0,0.0,0.0
10_Superior_Temporal_Gyrus_posterior_division_left.nii,392,242,3,0.6173469387755102,0.007653061224489796
10_Superior_Temporal_Gyrus_posterior_division_right.nii,478,307,2,0.6422594142259415,0.0041841004184100415
11_Middle_Temporal_Gyrus_anterior_division_left.nii,165,50,0,0.30303030303030304,0.0
11_Middle_Temporal_Gyrus_anterior_division_right.nii,114,30,0,0.2631578947368421,0.0
12_Middle_Temporal_Gyrus_posterior_division_left.nii,365,81,1,0.2219178082191781,0.0027397260273972603
12_Middle_Temporal_Gyrus_posterior_division_right.nii,351,126,5,0.358974358974359,0.014245014245014245
13_Middle_Temporal_Gyrus_temporooccipital_part_left.nii,341,32,2,0.093841642228739,0.005865102639296188
13_Middle_Temporal_Gyrus_temporooccipital_part_right.nii,424,25,0,0.0589622641509434,0.0
14_Inferior_Temporal_Gyrus_anterior_division_left.nii,89,1,0,0.011235955056179775,0.0
14_Inferior_Temporal_Gyrus_anterior_division_right.nii,92,2,1,0.021739130434782608,0.010869565217391304
14_Right_Lateral_Ventricle.nii,272,4,0,0.014705882352941176,0.0
15_Inferior_Temporal_Gyrus_posterior_division_left.nii,327,9,2,0.027522935779816515,0.0061162079510703364
15_Inferior_Temporal_Gyrus_posterior_division_right.nii,325,21,0,0.06461538461538462,0.0
15_Right_Thalamus.nii,80,0,0,0.0,0.0
16_Inferior_Temporal_Gyrus_temporooccipital_part_left.nii,363,11,1,0.030303030303030304,0.0027548209366391185
16_Inferior_Temporal_Gyrus_temporooccipital_part_right.nii,342,9,0,0.02631578947368421,0.0
16_Right_Caudate.nii,45,1,0,0.022222222222222223,0.0
17_Postcentral_Gyrus_left.nii,1362,40,1,0.02936857562408223,0.0007342143906020558
17_Postcentral_Gyrus_right.nii,1274,41,3,0.03218210361067504,0.002354788069073783
18_Superior_Parietal_Lobule_left.nii,726,6,3,0.008264462809917356,0.004132231404958678
18_Superior_Parietal_Lobule_right.nii,452,24,1,0.05309734513274336,0.0022123893805309734
19_Right_Hippocampus.nii,262,7,1,0.026717557251908396,0.003816793893129771
19_Supramarginal_Gyrus_anterior_division_left.nii,401,4,2,0.00997506234413965,0.004987531172069825
19_Supramarginal_Gyrus_anterior_division_right.nii,360,4,2,0.011111111111111112,0.005555555555555556
1_Frontal_Pole_left.nii,3052,35,9,0.011467889908256881,0.002948885976408912
1_Frontal_Pole_right.nii,3841,107,9,0.027857328820619632,0.002343139807341838
20_Right_Amygdala.nii,149,10,0,0.06711409395973154,0.0
20_Supramarginal_Gyrus_posterior_division_left.nii,433,88,2,0.20323325635103925,0.004618937644341801
20_Supramarginal_Gyrus_posterior_division_right.nii,725,184,4,0.2537931034482759,0.005517241379310344
21_Angular_Gyrus_left.nii,396,5,0,0.012626262626262626,0.0
21_Angular_Gyrus_right.nii,577,21,1,0.036395147313691506,0.0017331022530329288
22_Lateral_Occipital_Cortex_superior_division_left.nii,1929,29,4,0.01503369621565578,0.002073613271124935
22_Lateral_Occipital_Cortex_superior_division_right.nii,1841,69,2,0.037479630635524175,0.0010863661053775121
23_Lateral_Occipital_Cortex_inferior_division_left.nii,858,41,3,0.047785547785547784,0.0034965034965034965
23_Lateral_Occipital_Cortex_inferior_division_right.nii,779,9,1,0.011553273427471117,0.0012836970474967907
24_Intracalcarine_Cortex_left.nii,190,0,2,0.0,0.010526315789473684
24_Intracalcarine_Cortex_right.nii,188,1,1,0.005319148936170213,0.005319148936170213
25_Frontal_Medial_Cortex_left.nii,117,4,0,0.03418803418803419,0.0
25_Frontal_Medial_Cortex_right.nii,182,2,4,0.01098901098901099,0.02197802197802198
26_Juxtapositional_Lobule_Cortex_formerly_Supplementary_Motor_Cortex_left.nii,310,32,1,0.1032258064516129,0.0032258064516129032
26_Juxtapositional_Lobule_Cortex_formerly_Supplementary_Motor_Cortex_right.nii,238,13,0,0.0546218487394958,0.0
27_Subcallosal_Cortex_left.nii,290,8,4,0.027586206896551724,0.013793103448275862
27_Subcallosal_Cortex_right.nii,314,9,1,0.028662420382165606,0.0031847133757961785
28_Paracingulate_Gyrus_left.nii,627,12,1,0.019138755980861243,0.001594896331738437
28_Paracingulate_Gyrus_right.nii,745,25,1,0.03355704697986577,0.0013422818791946308
29_Cingulate_Gyrus_anterior_division_left.nii,452,6,0,0.01327433628318584,0.0
29_Cingulate_Gyrus_anterior_division_right.nii,518,12,2,0.023166023166023165,0.003861003861003861
2_Insular_Cortex_left.nii,579,15,6,0.025906735751295335,0.010362694300518135
2_Insular_Cortex_right.nii,507,28,1,0.055226824457593686,0.0019723865877712033
30_Cingulate_Gyrus_posterior_division_left.nii,537,28,3,0.0521415270018622,0.00558659217877095
30_Cingulate_Gyrus_posterior_division_right.nii,499,34,3,0.06813627254509018,0.006012024048096192
31_Precuneous_Cortex_left.nii,1174,35,1,0.029812606473594547,0.0008517887563884157
31_Precuneous_Cortex_right.nii,989,21,1,0.021233569261880688,0.0010111223458038423
32_Cuneal_Cortex_left.nii,182,6,0,0.03296703296703297,0.0
32_Cuneal_Cortex_right.nii,147,4,0,0.027210884353741496,0.0
33_Frontal_Orbital_Cortex_left.nii,826,34,2,0.04116222760290557,0.002421307506053269
33_Frontal_Orbital_Cortex_right.nii,717,20,1,0.02789400278940028,0.001394700139470014
