roi,n_vox,n_shift,n_drift,prop_shift,prop_drift
45_Heschl's_Gyrus_includes_H1_and_H2_left.nii,81,64,0,0.7901234567901234,0.0
45_Heschl's_Gyrus_includes_H1_and_H2_right.nii,70,54,0,0.7714285714285715,0.0
46_Planum_Temporale_left.nii,97,70,0,0.7216494845360825,0.0
9_Superior_Temporal_Gyrus_anterior_division_left.nii,128,92,0,0.71875,0.0
10_Superior_Temporal_Gyrus_posterior_division_right.nii,478,307,2,0.6422594142259415,0.0041841004184100415
9_Superior_Temporal_Gyrus_anterior_division_right.nii,132,82,0,0.6212121212121212,0.0
10_Superior_Temporal_Gyrus_posterior_division_left.nii,392,242,3,0.6173469387755102,0.007653061224489796
43_Parietal_Operculum_Cortex_left.nii,190,104,0,0.5473684210526316,0.0
46_Planum_Temporale_right.nii,82,36,0,0.43902439024390244,0.0
44_Planum_Polare_left.nii,147,62,0,0.4217687074829932,0.0
44_Planum_Polare_right.nii,145,57,2,0.3931034482758621,0.013793103448275862
12_Middle_Temporal_Gyrus_posterior_division_right.nii,351,126,5,0.358974358974359,0.014245014245014245
42_Central_Opercular_Cortex_left.nii,401,130,2,0.32418952618453867,0.004987531172069825
11_Middle_Temporal_Gyrus_anterior_division_left.nii,165,50,0,0.30303030303030304,0.0
11_Middle_Temporal_Gyrus_anterior_division_right.nii,114,30,0,0.2631578947368421,0.0
20_Supramarginal_Gyrus_posterior_division_right.nii,725,184,4,0.2537931034482759,0.005517241379310344
5_Inferior_Frontal_Gyrus_pars_triangularis_right.nii,314,75,0,0.23885350318471338,0.0
12_Middle_Temporal_Gyrus_posterior_division_left.nii,365,81,1,0.2219178082191781,0.0027397260273972603
42_Central_Opercular_Cortex_right.nii,373,76,1,0.2037533512064343,0.002680965147453083
20_Supramarginal_Gyrus_posterior_division_left.nii,433,88,2,0.20323325635103925,0.004618937644341801
43_Parietal_Operculum_Cortex_right.nii,156,28,0,0.1794871794871795,0.0
8_Temporal_Pole_right.nii,1264,132,0,0.10443037974683544,0.0
4_Middle_Frontal_Gyrus_left.nii,1180,123,2,0.10423728813559321,0.001694915254237288
26_Juxtapositional_Lobule_Cortex_formerly_Supplementary_Motor_Cortex_left.nii,310,32,1,0.1032258064516129,0.0032258064516129032
4_Middle_Frontal_Gyrus_right.nii,1334,130,2,0.09745127436281859,0.0014992503748125937
