roi,n_vox,n_shift,n_drift,prop_shift,prop_drift
10_Left_Amygdala.nii,106,5,11,0.04716981132075472,0.10377358490566038
10_Superior_Temporal_Gyrus_posterior_division_left.nii,392,296,54,0.7551020408163265,0.1377551020408163
10_Superior_Temporal_Gyrus_posterior_division_right.nii,478,354,86,0.7405857740585774,0.1799163179916318
11_Middle_Temporal_Gyrus_anterior_division_left.nii,165,73,16,0.44242424242424244,0.09696969696969697
11_Middle_Temporal_Gyrus_anterior_division_right.nii,114,43,10,0.37719298245614036,0.08771929824561403
12_Middle_Temporal_Gyrus_posterior_division_left.nii,365,112,48,0.30684931506849317,0.13150684931506848
12_Middle_Temporal_Gyrus_posterior_division_right.nii,351,164,67,0.4672364672364672,0.1908831908831909
13_Middle_Temporal_Gyrus_temporooccipital_part_left.nii,341,63,38,0.18475073313782991,0.11143695014662756
13_Middle_Temporal_Gyrus_temporooccipital_part_right.nii,424,62,39,0.14622641509433962,0.09198113207547169
14_Inferior_Temporal_Gyrus_anterior_division_left.nii,89,6,8,0.06741573033707865,0.0898876404494382
14_Inferior_Temporal_Gyrus_anterior_division_right.nii,92,11,9,0.11956521739130435,0.09782608695652174
14_Right_Lateral_Ventricle.nii,272,15,25,0.05514705882352941,0.09191176470588236
15_Inferior_Temporal_Gyrus_posterior_division_left.nii,327,36,33,0.11009174311926606,0.10091743119266056
15_Inferior_Temporal_Gyrus_posterior_division_right.nii,325,42,20,0.12923076923076923,0.06153846153846154
15_Right_Thalamus.nii,80,3,6,0.0375,0.075
16_Inferior_Temporal_Gyrus_temporooccipital_part_left.nii,363,52,25,0.14325068870523416,0.06887052341597796
16_Inferior_Temporal_Gyrus_temporooccipital_part_right.nii,342,27,12,0.07894736842105263,0.03508771929824561
16_Right_Caudate.nii,45,5,2,0.1111111111111111,0.044444444444444446
17_Postcentral_Gyrus_left.nii,1362,149,65,0.10939794419970632,0.04772393538913363
17_Postcentral_Gyrus_right.nii,1274,137,85,0.1075353218210361,0.06671899529042387
18_Superior_Parietal_Lobule_left.nii,726,32,45,0.0440771349862259,0.06198347107438017
18_Superior_Parietal_Lobule_right.nii,452,90,36,0.19911504424778761,0.07964601769911504
19_Right_Hippocampus.nii,262,24,22,0.0916030534351145,0.08396946564885496
19_Supramarginal_Gyrus_anterior_division_left.nii,401,26,25,0.06483790523690773,0.06234413965087282
19_Supramarginal_Gyrus_anterior_division_right.nii,360,31,24,0.08611111111111111,0.06666666666666667
1_Frontal_Pole_left.nii,3052,141,301,0.04619921363040629,0.09862385321100918
1_Frontal_Pole_right.nii,3841,320,314,0.08331163759437646,0.08174954438948191
20_Right_Amygdala.nii,149,22,15,0.1476510067114094,0.10067114093959731
20_Supramarginal_Gyrus_posterior_division_left.nii,433,122,44,0.2817551963048499,0.10161662817551963
20_Supramarginal_Gyrus_posterior_division_right.nii,725,234,91,0.32275862068965516,0.12551724137931033
21_Angular_Gyrus_left.nii,396,11,45,0.027777777777777776,0.11363636363636363
21_Angular_Gyrus_right.nii,577,66,84,0.11438474870017332,0.14558058925476602
22_Lateral_Occipital_Cortex_superior_division_left.nii,1929,103,108,0.05339554173146708,0.05598755832037325
22_Lateral_Occipital_Cortex_superior_division_right.nii,1841,194,221,0.10537751222161869,0.1200434546442151
23_Lateral_Occipital_Cortex_inferior_division_left.nii,858,96,46,0.11188811188811189,0.053613053613053616
23_Lateral_Occipital_Cortex_inferior_division_right.nii,779,46,34,0.059050064184852376,0.043645699614890884
24_Intracalcarine_Cortex_left.nii,190,3,39,0.015789473684210527,0.20526315789473684
24_Intracalcarine_Cortex_right.nii,188,3,28,0.015957446808510637,0.14893617021276595
25_Frontal_Medial_Cortex_left.nii,117,17,11,0.1452991452991453,0.09401709401709402
25_Frontal_Medial_Cortex_right.nii,182,9,24,0.04945054945054945,0.13186813186813187
26_Juxtapositional_Lobule_Cortex_formerly_Supplementary_Motor_Cortex_left.nii,310,49,15,0.15806451612903225,0.04838709677419355
26_Juxtapositional_Lobule_Cortex_formerly_Supplementary_Motor_Cortex_right.nii,238,32,9,0.13445378151260504,0.037815126050420166
27_Subcallosal_Cortex_left.nii,290,16,40,0.05517241379310345,0.13793103448275862
27_Subcallosal_Cortex_right.nii,314,24,29,0.07643312101910828,0.09235668789808917
28_Paracingulate_Gyrus_left.nii,627,52,55,0.08293460925039872,0.08771929824561403
28_Paracingulate_Gyrus_right.nii,745,72,61,0.09664429530201342,0.08187919463087248
29_Cingulate_Gyrus_anterior_division_left.nii,452,27,45,0.059734513274336286,0.09955752212389381
