roi,n_vox,n_shift,n_drift,prop_shift,prop_drift
24_Intracalcarine_Cortex_left.nii,190,3,39,0.015789473684210527,0.20526315789473684
12_Middle_Temporal_Gyrus_posterior_division_right.nii,351,164,67,0.4672364672364672,0.1908831908831909
10_Superior_Temporal_Gyrus_posterior_division_right.nii,478,354,86,0.7405857740585774,0.1799163179916318
47_Supracalcarine_Cortex_left.nii,50,3,8,0.06,0.16
24_Intracalcarine_Cortex_right.nii,188,3,28,0.015957446808510637,0.14893617021276595
46_Planum_Temporale_right.nii,82,49,12,0.5975609756097561,0.14634146341463414
21_Angular_Gyrus_right.nii,577,66,84,0.11438474870017332,0.14558058925476602
37_Temporal_Fusiform_Cortex_anterior_division_left.nii,178,17,25,0.09550561797752809,0.1404494382022472
4_Left_Thalamus.nii,123,6,17,0.04878048780487805,0.13821138211382114
27_Subcallosal_Cortex_left.nii,290,16,40,0.05517241379310345,0.13793103448275862
10_Superior_Temporal_Gyrus_posterior_division_left.nii,392,296,54,0.7551020408163265,0.1377551020408163
43_Parietal_Operculum_Cortex_right.nii,156,43,21,0.27564102564102566,0.1346153846153846
25_Frontal_Medial_Cortex_right.nii,182,9,24,0.04945054945054945,0.13186813186813187
12_Middle_Temporal_Gyrus_posterior_division_left.nii,365,112,48,0.30684931506849317,0.13150684931506848
20_Supramarginal_Gyrus_posterior_division_right.nii,725,234,91,0.32275862068965516,0.12551724137931033
41_Frontal_Operculum_Cortex_left.nii,213,43,26,0.20187793427230047,0.12206572769953052
9_Superior_Temporal_Gyrus_anterior_division_right.nii,132,93,16,0.7045454545454546,0.12121212121212122
2_Insular_Cortex_left.nii,579,58,70,0.1001727115716753,0.12089810017271158
22_Lateral_Occipital_Cortex_superior_division_right.nii,1841,194,221,0.10537751222161869,0.1200434546442151
8_Temporal_Pole_right.nii,1264,229,148,0.18117088607594936,0.11708860759493671
5_Inferior_Frontal_Gyrus_pars_triangularis_left.nii,365,59,42,0.16164383561643836,0.11506849315068493
35_Parahippocampal_Gyrus_posterior_division_right.nii,287,23,33,0.08013937282229965,0.11498257839721254
21_Angular_Gyrus_left.nii,396,11,45,0.027777777777777776,0.11363636363636363
8_Temporal_Pole_left.nii,1249,220,140,0.17614091273018415,0.11208967173738991
13_Middle_Temporal_Gyrus_temporooccipital_part_left.nii,341,63,38,0.18475073313782991,0.11143695014662756
