roi,n_vox,n_shift,n_drift,prop_shift,prop_drift
45_Heschl's_Gyrus_includes_H1_and_H2_right.nii,70,59,7,0.8428571428571429,0.1
45_Heschl's_Gyrus_includes_H1_and_H2_left.nii,81,67,1,0.8271604938271605,0.012345679012345678
46_Planum_Temporale_left.nii,97,78,9,0.8041237113402062,0.09278350515463918
9_Superior_Temporal_Gyrus_anterior_division_left.nii,128,98,13,0.765625,0.1015625
10_Superior_Temporal_Gyrus_posterior_division_left.nii,392,296,54,0.7551020408163265,0.1377551020408163
10_Superior_Temporal_Gyrus_posterior_division_right.nii,478,354,86,0.7405857740585774,0.1799163179916318
9_Superior_Temporal_Gyrus_anterior_division_right.nii,132,93,16,0.7045454545454546,0.12121212121212122
43_Parietal_Operculum_Cortex_left.nii,190,130,19,0.6842105263157895,0.1
46_Planum_Temporale_right.nii,82,49,12,0.5975609756097561,0.14634146341463414
44_Planum_Polare_left.nii,147,78,4,0.5306122448979592,0.027210884353741496
44_Planum_Polare_right.nii,145,68,14,0.4689655172413793,0.09655172413793103
12_Middle_Temporal_Gyrus_posterior_division_right.nii,351,164,67,0.4672364672364672,0.1908831908831909
11_Middle_Temporal_Gyrus_anterior_division_left.nii,165,73,16,0.44242424242424244,0.09696969696969697
42_Central_Opercular_Cortex_left.nii,401,166,42,0.4139650872817955,0.10473815461346633
11_Middle_Temporal_Gyrus_anterior_division_right.nii,114,43,10,0.37719298245614036,0.08771929824561403
5_Inferior_Frontal_Gyrus_pars_triangularis_right.nii,314,117,32,0.37261146496815284,0.10191082802547771
20_Supramarginal_Gyrus_posterior_division_right.nii,725,234,91,0.32275862068965516,0.12551724137931033
12_Middle_Temporal_Gyrus_posterior_division_left.nii,365,112,48,0.30684931506849317,0.13150684931506848
42_Central_Opercular_Cortex_right.nii,373,113,27,0.30294906166219837,0.07238605898123325
20_Supramarginal_Gyrus_posterior_division_left.nii,433,122,44,0.2817551963048499,0.10161662817551963
43_Parietal_Operculum_Cortex_right.nii,156,43,21,0.27564102564102566,0.1346153846153846
41_Frontal_Operculum_Cortex_left.nii,213,43,26,0.20187793427230047,0.12206572769953052
18_Superior_Parietal_Lobule_right.nii,452,90,36,0.19911504424778761,0.07964601769911504
4_Middle_Frontal_Gyrus_right.nii,1334,250,100,0.1874062968515742,0.07496251874062969
13_Middle_Temporal_Gyrus_temporooccipital_part_left.nii,341,63,38,0.18475073313782991,0.11143695014662756
