metric;story;roi;max_corr;mean_corr;n_voxels;vox_gt_0.1;vox_gt_0.2;vox_gt_0.3
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;die_maske_des_roten_todes;vmpfc(frontal_medial_cortex)_L.nii;0.23873675755150536;0.000365383;937865;1327;4;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;ligeia;vmpfc(frontal_medial_cortex)_L.nii;0.23394320472514524;-1.19E-06;937865;360;2;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;die_maske_des_roten_todes;Ant_Supramarginal_gyrus_L.nii;0.1991857869415611;0.025058929585095802;292;27;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;die_maske_des_roten_todes;Ant_Supramarginal_gyrus_R.nii;0.1991857869415611;0.025058929585095802;292;27;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;die_maske_des_roten_todes;tempo_middle_temporal_gyrus_R.nii;0.19056233400453512;0.014558787164128862;276;12;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;die_maske_des_roten_todes;tempo_middle_temporal_gyrus_L.nii;0.19056233400453512;0.014558787164128862;276;12;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;die_maske_des_roten_todes;Precuenus_cortex.nii;0.1838559906838135;0.010938198968481508;1413;73;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;die_pflanzen_des_dr;vmpfc(frontal_medial_cortex)_L.nii;0.18271591876418808;0.000421727;937865;426;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;die_maske_des_roten_todes;sup_frontal_gyrus.nii;0.17948850776475442;-0.000636824;625;20;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;die_maske_des_roten_todes;Occipital_Fusiform_Gyrus_R.nii;0.17759382174684252;0.048089014776103944;274;52;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;die_maske_des_roten_todes;Occipital_Fusiform_Gyrus_L.nii;0.17759382174684252;0.048089014776103944;274;52;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;lebendig_begraben;vmpfc(frontal_medial_cortex)_L.nii;0.17521229148859516;-0.001261681;937865;94;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;ligeia;Ant_Supramarginal_gyrus_L.nii;0.1743008517216827;0.005287573;292;20;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;ligeia;Ant_Supramarginal_gyrus_R.nii;0.1743008517216827;0.005287573;292;20;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;die_maske_des_roten_todes;Post_Supramarginal_gryus_L.nii;0.17298489405326636;0.013735986458227545;192;9;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;die_maske_des_roten_todes;Post_Supramarginal_gryus_R.nii;0.17298489405326636;0.013735986458227545;192;9;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;die_maske_des_roten_todes;Temporal_Pole_R.nii;0.1707750173306125;0.001698962;1333;8;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;die_maske_des_roten_todes;Temporal_Pole_L.nii;0.1707750173306125;0.001698962;1333;8;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;ligeia;IFC_pars_opercularis_L.nii;0.16913073805605988;0.018543883566885987;163;11;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;ligeia;IFC_pars_opercularis_R.nii;0.16913073805605988;0.018543883566885987;163;11;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;die_maske_des_roten_todes;post_Sup_Temporal_gyrus_L.nii;0.16891031473495358;0.038904667;242;26;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;die_maske_des_roten_todes;post_Sup_Temporal_gyrus_R.nii;0.16891031473495358;0.038904667;242;26;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;das_manuskript_in_der_flasche;vmpfc(frontal_medial_cortex)_L.nii;0.16613710025162298;1.2062202312889137e-05;937865;235;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;mord_in_sunningdale;post_Sup_Temporal_gyrus_L.nii;0.16553405390886364;0.038700687410653294;242;14;0;0
