,sum_counts,sum_counts,sum_counts,weighted_mean_per_roi,weighted_mean_per_roi,weighted_mean_per_roi
group,DMN+ hubs,Language hubs,Other,DMN+ hubs,Language hubs,Other
rho,,,,,,
0.010,28,45,47,2.529,1.350,1.236
0.050,31,43,50,2.784,1.283,1.312
0.100,29,43,43,2.641,1.253,1.280
0.200,26,47,47,2.342,1.389,1.196
0.300,26,43,42,2.373,1.223,1.093
0.400,28,43,43,2.607,1.191,1.045
0.500,23,49,37,2.028,1.284,0.935
0.600,23,51,32,2.012,1.322,0.802
0.700,16,59,27,1.532,1.512,0.670
0.800,16,52,18,1.438,1.357,0.357
0.900,12,48,18,1.132,1.235,0.360
